scenario,outer_id,inner_id,replicate_id,seed,fit_valid,invalid_reason,response_exposure_kyr,n_observation_events,effect_identified,n_response_events,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__pre_phase_sin,beta__pre_phase_cos,phase_deg,rate_ratio,full_log_likelihood,reduced_log_likelihood,ks_uniform,adjacent_dependence,residual_status
C_joint,137,33,33,20260925,True,,396.500709812,72,True,71,-1.51235909242,-1.24760709663,2.56439919077,1.79739471261,-0.190123044747,0.461766158421,337.621558369,2.71488265533,-184.37697399,-188.386827364,,,
C_joint,137,34,34,20260925,True,,396.500709812,66,True,65,-1.54714764862,-1.46232093826,0.376849665337,-0.865863127005,-0.128068604669,0.0438435251057,288.898334615,1.31092241974,-176.917200263,-177.201847409,,,
C_joint,137,35,35,20260925,True,,396.500709812,67,True,66,-1.79997795364,-0.372215517003,1.67565987267,1.55798361646,-0.340152371786,0.537580051121,327.676524076,3.56910314326,-177.852844286,-183.618779567,,,
C_joint,137,36,36,20260925,True,,396.500709812,70,True,69,-1.64066820063,-0.723960695377,-0.11216419074,-1.50149124873,-0.25771040455,0.366887266563,324.914876277,2.4515172765,-184.352265998,-187.412127861,,,
C_joint,137,37,37,20260925,True,,396.500709812,77,True,76,-1.33827706814,-1.48491534635,0.941846300512,-0.185559224179,-0.135709928676,0.1584078178,319.412928822,1.5176788232,-194.088511509,-194.854485501,,,
C_joint,137,38,38,20260925,True,,396.500709812,66,True,65,-1.75861379114,-0.766661048889,-1.306087151,-2.45758699616,-0.273266558685,0.641105594643,336.914228284,4.03025917936,-173.982498995,-180.613366076,,,
C_joint,137,39,39,20260925,True,,396.500709812,65,True,64,-1.68711227111,-0.862626814385,0.963874000228,0.175693153707,-0.445015116186,0.11211223982,284.140221556,2.50387639886,-176.179318684,-179.162636355,,,
C_joint,137,40,40,20260925,True,,396.500709812,82,True,81,-1.531506801,-0.644864344771,0.629882934291,0.326483154467,-0.243207655589,0.756702090378,342.182347507,4.90204054375,-198.494316243,-209.281630961,,,
C_joint,137,41,41,20260925,True,,396.500709812,66,True,65,-1.67847073982,-0.7754743813,0.291237246381,-0.0270988881283,-0.235522630323,0.353276950969,326.309408909,2.33772277072,-178.76083214,-181.415928326,,,
C_joint,137,42,42,20260925,True,,396.500709812,53,True,52,-1.80827229323,-2.11055329724,1.98234341504,1.38996130695,-0.0917199740553,0.602327749964,351.341749559,3.38225348169,-148.913268523,-153.202484338,,,
C_joint,137,43,43,20260925,True,,396.500709812,53,True,52,-1.80707547899,-3.12758392764,2.72196357531,1.44859346791,-0.359477632154,0.957155576412,339.415395508,7.72813594603,-139.903665581,-151.123581381,,,
C_joint,137,44,44,20260925,True,,396.500709812,74,True,73,-1.58246818618,-1.01952038156,1.69339171186,1.32408173385,-0.41130351273,0.756913849243,331.480546044,5.60070193158,-184.754662576,-195.538066569,,,
C_joint,137,45,45,20260925,True,,396.500709812,68,True,67,-1.79158652019,-0.249303903961,1.53691003626,0.803783611514,-0.536889534009,0.201994130031,290.617822366,3.14955472831,-181.034505038,-185.672638177,,,
C_joint,137,46,46,20260925,True,,396.500709812,65,True,64,-1.68812734401,-0.75669628911,0.874713325507,0.347189413218,-0.014291421903,0.299744767861,357.270282535,1.8224295791,-177.730280068,-179.101972072,,,
C_joint,137,47,47,20260925,True,,396.500709812,72,True,71,-1.50208376453,-1.48689364139,1.92308858195,0.833490098689,0.00554902444523,0.698341578521,0.455262868175,4.04195000049,-180.921153303,-188.590456365,,,
C_joint,137,48,48,20260925,True,,396.500709812,74,True,73,-1.59941526179,-1.14008015859,1.73014021632,-0.264078598587,-0.270602835947,0.854699444909,342.431908745,6.007613895,-180.724045702,-193.090770815,,,
C_joint,137,49,49,20260925,True,,396.500709812,83,True,82,-1.38142729132,-1.04787665173,0.524585348797,-1.02831101236,-0.147701127084,0.602791345306,346.23215277,3.45992251609,-200.9840602,-207.790660719,,,
C_joint,137,50,50,20260925,True,,396.500709812,65,True,64,-1.63467747449,-1.30430461733,0.0799530667783,0.0910522098861,-0.48279994587,0.374256512475,307.78210109,3.39309528005,-173.108856376,-178.168745407,,,
C_joint,138,1,1,20260925,True,,396.27193537,66,True,65,-1.86555673292,-0.398447300888,2.36825546462,1.73122105717,-0.292766484224,0.724937133655,338.008638295,4.77619660391,-172.68386472,-181.024316095,,,
C_joint,138,2,2,20260925,True,,396.27193537,59,True,58,-1.85903042068,-0.905320144353,1.5277462463,1.80284797619,-0.138501816325,0.684319348387,348.558263219,4.04058399485,-161.776766512,-167.889286084,,,
C_joint,138,3,3,20260925,True,,396.27193537,67,True,66,-1.70785903229,-0.971555742402,3.05974350415,2.3884174866,-0.214298252575,0.64407572115,341.596573847,3.88678399612,-173.857166492,-180.590278234,,,
C_joint,138,4,4,20260925,True,,396.27193537,79,True,78,-1.50295355579,-0.621018971505,1.65865981891,1.07944299911,-0.133243676263,0.364303131966,339.910034015,2.17235303626,-200.12342859,-202.797555053,,,
C_joint,138,5,5,20260925,True,,396.27193537,76,True,75,-1.49639269219,-1.19566856777,2.92103922947,1.0311612613,-0.13921504487,0.513476466662,344.830495035,2.89802081656,-187.46796829,-192.267824425,,,
C_joint,138,6,6,20260925,True,,396.27193537,65,True,64,-1.6085844815,-1.65290093071,2.09348670434,1.53911233192,-0.493957277254,0.566336792096,318.905159111,4.49502813761,-170.157214233,-177.436908046,,,
C_joint,138,7,7,20260925,True,,396.27193537,74,True,73,-1.4791421856,-1.31662798317,3.04172592567,2.13609045972,-0.216653666295,0.486860119581,336.010846297,2.90310162255,-186.086578493,-190.668398715,,,
C_joint,138,8,8,20260925,True,,396.27193537,71,True,70,-1.5654113946,-1.18924284005,2.20636733576,1.62784118163,-0.529374100473,0.454367403112,310.639842245,4.03601835472,-181.138578534,-188.593006133,,,
C_joint,138,9,9,20260925,True,,396.27193537,67,True,66,-1.69539505453,-0.771131844662,2.41068056967,1.96046625925,-0.320378380645,0.415787356646,322.38451871,2.85708738905,-178.128527776,-182.084579389,,,
C_joint,138,10,10,20260925,True,,396.27193537,84,True,83,-1.18716135191,-1.84734818324,2.78948739523,3.38316872517,-0.0197499658597,0.469849849297,357.593009928,2.56133732524,-197.364157184,-201.585935239,,,
