realization_id,fit_valid,invalid_reason
joint_01321,True,
joint_01322,True,
joint_01323,True,
joint_01324,True,
joint_01325,True,
joint_01326,True,
joint_01327,True,
joint_01328,True,
joint_01329,True,
joint_01330,True,
joint_01331,True,
joint_01332,True,
joint_01333,True,
joint_01334,True,
joint_01335,True,
joint_01336,True,
joint_01337,True,
joint_01338,True,
joint_01339,True,
joint_01340,True,
joint_01341,True,
joint_01342,True,
joint_01343,True,
joint_01344,True,
joint_01345,True,
joint_01346,True,
joint_01347,True,
joint_01348,True,
joint_01349,True,
joint_01350,True,
joint_01351,True,
joint_01352,True,
joint_01353,True,
joint_01354,True,
joint_01355,True,
joint_01356,True,
joint_01357,True,
joint_01358,True,
joint_01359,True,
joint_01360,True,
joint_01361,True,
joint_01362,True,
joint_01363,True,
joint_01364,True,
joint_01365,True,
joint_01366,True,
joint_01367,True,
joint_01368,True,
joint_01369,True,
joint_01370,True,
joint_01371,True,
joint_01372,True,
joint_01373,True,
joint_01374,True,
joint_01375,True,
joint_01376,True,
joint_01377,True,
joint_01378,True,
joint_01379,True,
joint_01380,True,
joint_01381,True,
joint_01382,True,
joint_01383,True,
joint_01384,True,
joint_01385,True,
joint_01386,True,
joint_01387,True,
joint_01388,True,
joint_01389,True,
joint_01390,True,
joint_01391,True,
joint_01392,True,
joint_01393,True,
joint_01394,True,
joint_01395,True,
joint_01396,True,
joint_01397,True,
joint_01398,True,
joint_01399,True,
joint_01400,True,
joint_01401,True,
joint_01402,True,
joint_01403,True,
joint_01404,True,
joint_01405,True,
joint_01406,True,
joint_01407,True,
joint_01408,True,
joint_01409,True,
joint_01410,True,
joint_01411,True,
joint_01412,True,
joint_01413,True,
joint_01414,True,
joint_01415,True,
joint_01416,True,
joint_01417,True,
joint_01418,True,
joint_01419,True,
joint_01420,True,
joint_01421,True,
joint_01422,True,
joint_01423,True,
joint_01424,True,
joint_01425,True,
joint_01426,True,
joint_01427,True,
joint_01428,True,
joint_01429,True,
joint_01430,True,
joint_01431,True,
joint_01432,True,
joint_01433,True,
joint_01434,True,
joint_01435,True,
joint_01436,True,
joint_01437,True,
joint_01438,True,
joint_01439,True,
joint_01440,True,
joint_01441,True,
joint_01442,True,
joint_01443,True,
joint_01444,True,
joint_01445,True,
joint_01446,True,
joint_01447,True,
joint_01448,True,
joint_01449,True,
joint_01450,True,
joint_01451,True,
joint_01452,True,
joint_01453,True,
joint_01454,True,
joint_01455,True,
joint_01456,True,
joint_01457,True,
joint_01458,True,
joint_01459,True,
joint_01460,True,
joint_01461,True,
joint_01462,True,
joint_01463,True,
joint_01464,True,
joint_01465,True,
joint_01466,True,
joint_01467,True,
joint_01468,True,
joint_01469,True,
joint_01470,True,
joint_01471,True,
joint_01472,True,
joint_01473,True,
joint_01474,True,
joint_01475,True,
joint_01476,True,
joint_01477,True,
joint_01478,True,
joint_01479,True,
joint_01480,True,
joint_01481,True,
joint_01482,True,
joint_01483,True,
joint_01484,True,
joint_01485,True,
joint_01486,True,
joint_01487,True,
joint_01488,True,
joint_01489,True,
joint_01490,True,
joint_01491,True,
joint_01492,True,
joint_01493,True,
joint_01494,True,
joint_01495,True,
joint_01496,True,
joint_01497,True,
joint_01498,True,
joint_01499,True,
joint_01500,True,
joint_01501,True,
joint_01502,True,
joint_01503,True,
joint_01504,True,
joint_01505,True,
joint_01506,True,
joint_01507,True,
joint_01508,True,
joint_01509,True,
joint_01510,True,
joint_01511,True,
joint_01512,True,
joint_01513,True,
joint_01514,True,
joint_01515,True,
joint_01516,True,
joint_01517,True,
joint_01518,True,
joint_01519,True,
joint_01520,True,
joint_01521,True,
joint_01522,True,
joint_01523,True,
joint_01524,True,
joint_01525,True,
joint_01526,True,
joint_01527,True,
joint_01528,True,
joint_01529,True,
