outer_id,source_row_index,age_realization_id,ngrip_realization_id,mis6_realization_id,n_response_events,response_exposure_kyr,response_end_kyr_bp__NGRIP,response_end_kyr_bp__MIS6,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__mis6_segment,beta__pre_phase_sin,beta__pre_phase_cos
110,7371,joint_07372,NGRIP_00357,2561,53,161.243116,111.160104,194.583012,-0.6690398492229724,-1.1305028755132682,1.947923951599595,0.21011510038556103,-0.2564939674735579,-0.746420864568264,0.8767781423212829
111,5074,joint_05075,NGRIP_00706,5881,53,163.992928,114.639512,193.853416,-0.7487109231020439,-0.8575442666196097,1.736856083467339,-0.12635569967174645,-0.26571970474746637,-0.5640992080983251,0.6488355613688067
112,9794,joint_09795,NGRIP_06431,2075,53,162.869337,112.894968,194.474369,-0.7435310593574588,-0.9010851363632707,1.40879239600346,-0.5265084422672174,-0.2757406301662221,-0.6433968561555361,0.7312370063953435
113,3437,joint_03438,NGRIP_07180,3392,53,161.67258499999997,112.320759,193.851826,-0.6935919263051258,-1.077885527034424,2.088420886545325,0.4496987185076326,-0.22316122141380082,-0.6965664572218477,0.861778489612732
114,7392,joint_07393,NGRIP_00735,4889,53,162.789809,113.234401,194.055408,-0.8175635337326412,-0.783227758386598,1.802739411514216,0.3538152521388632,-0.1666178046056458,-0.5383065915707131,0.792763510518888
115,3471,joint_03472,NGRIP_05377,4403,53,168.429641,118.727705,194.201936,-0.8265451921913078,-0.70971422883195,2.2420818884066716,0.4571625797450072,-0.23219657059015208,-0.39295293845264595,0.6509074856672359
116,7683,joint_07684,NGRIP_07162,8863,53,163.468802,114.35021,193.618592,-0.6530410842483015,-1.165397407123502,1.8102775822411372,0.019104738256234155,-0.23827261130037533,-0.6636807272269107,0.8557423600272199
117,6924,joint_06925,NGRIP_00298,1069,53,165.65769799999998,115.898761,194.258937,-0.8216722407517809,-0.8220322188598519,2.1899546489201915,0.6103709406289834,-0.17136546084393586,-0.5253706589557244,0.8273637647444926
118,4801,joint_04802,NGRIP_08378,1583,53,170.28025,120.082112,194.698138,-0.7675677829899258,-0.911872254954702,2.2448558936881393,0.17770312543026512,-0.25218206649666675,-0.3266022992745437,0.8608668715375614
119,6136,joint_06137,NGRIP_06169,3047,53,164.880473,114.940848,194.439625,-0.6627962586712346,-1.145114542645841,2.0736275864772504,-0.017450309040506554,-0.29117851522527655,-0.6601121573950799,0.8738865736292889
120,9442,joint_09443,NGRIP_05131,1674,53,165.335936,115.997837,193.838099,-0.798473491177421,-0.8449313878911223,1.9413704547797506,0.3863001154711703,-0.1644333373005053,-0.42610415123927464,0.836155985260233
121,5189,joint_05190,NGRIP_05468,1087,53,170.51016700000002,120.504835,194.505332,-0.7545834221949704,-0.8149163037960437,1.492444637460032,-0.3560648212481463,-0.24781743695953617,-0.2227370291685374,0.5568130202444133
