source_row,event_age_ka,pick_value,event_index,dataset_id,event_type,event_label,event_definition,age_column,pick_column,analysis_start_ka,analysis_end_ka,source
83,488.7,1.0,84,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
84,504.62,1.0,85,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
85,507.9,1.0,86,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
86,515.92,1.0,87,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
87,522.08,1.0,88,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
88,528.66,1.0,89,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
89,537.84,1.0,90,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
90,547.84,1.0,91,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
91,550.64,1.0,92,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
92,555.64,1.0,93,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
93,579.92,1.0,94,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
94,584.92,1.0,95,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
95,586.24,1.0,96,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
96,590.38,1.0,97,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
97,595.26,1.0,98,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
98,601.92,1.0,99,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
99,618.6,1.0,100,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
100,621.02,1.0,101,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
