realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_08607,NGRIP_08501,4110,True,,55,8.08309729,0.0175702413,0.106013131,-4.02471646,328.784546,3.29640229,True,True,False
joint_08608,NGRIP_04690,7060,True,,55,13.9188139,0.000949659598,0.182550944,-9.86043308,331.071879,5.09935768,True,True,False
joint_08609,NGRIP_03892,8667,True,,55,11.7889314,0.00275464777,0.154616662,-7.73055057,338.860364,4.39303234,True,True,False
joint_08610,NGRIP_05954,9587,True,,55,12.9256716,0.00156036457,0.169525475,-8.86729074,328.180079,4.61026552,True,True,False
joint_08611,NGRIP_05530,2173,True,,55,9.17909915,0.0101574325,0.120387644,-5.12071832,332.931571,3.62689922,True,True,False
joint_08612,NGRIP_03358,738,True,,55,15.21648,0.00049634465,0.199570366,-11.1580992,321.707924,5.45266662,True,True,False
joint_08613,NGRIP_03225,6233,True,,55,6.19094947,0.045253524,0.0811968372,-2.13256864,320.199841,2.80146329,True,True,False
joint_08614,NGRIP_03923,820,True,,55,9.07750537,0.010686728,0.1190552,-5.01912455,341.137762,3.59876127,True,True,False
joint_08615,NGRIP_09891,9907,True,,55,15.390847,0.000454904286,0.201857261,-11.3324662,327.827963,5.48976145,True,True,False
joint_08616,NGRIP_04731,1255,True,,55,11.583759,0.00305224009,0.151925742,-7.52537817,338.444741,4.34170916,True,True,False
joint_08617,NGRIP_01596,3787,True,,55,7.29458505,0.0260615944,0.0956714698,-3.23620423,335.333131,3.11676223,True,True,False
joint_08618,NGRIP_06128,8893,True,,55,8.66851825,0.0131115845,0.113691166,-4.61013743,325.07174,3.43572655,True,True,False
joint_08619,NGRIP_05644,254,True,,55,13.6585536,0.0010816401,0.179137523,-9.60017273,320.135424,5.00555179,True,True,False
joint_08620,NGRIP_06334,5914,True,,55,9.68036445,0.00790561333,0.126961943,-5.62198362,332.726941,3.69254431,True,True,False
joint_08621,NGRIP_02750,6265,True,,55,7.3441691,0.0254234182,0.096321785,-3.28578828,338.361877,3.12244046,True,True,False
joint_08622,NGRIP_09637,2309,True,,55,12.5049959,0.00192563799,0.164008141,-8.44661506,328.207032,4.61063403,True,True,False
joint_08623,NGRIP_02709,655,True,,55,13.8243962,0.00099556704,0.181312617,-9.76601536,325.212277,4.99730854,True,True,False
joint_08624,NGRIP_04397,4485,True,,55,11.428785,0.00329815351,0.149893195,-7.37040419,330.457155,4.2819872,True,True,False
joint_08625,NGRIP_03245,1570,True,,55,11.4940241,0.00319230495,0.150748833,-7.43564331,341.151577,4.2936782,True,True,False
joint_08626,NGRIP_01431,5500,True,,55,10.7845953,0.00455150349,0.141444384,-6.7262145,330.110765,4.0505791,True,True,False
joint_08627,NGRIP_09139,8209,True,,55,12.3530812,0.00207760265,0.162015719,-8.29470042,338.444048,4.52904646,True,True,False
joint_08628,NGRIP_05712,9676,True,,55,13.9030558,0.00095717157,0.18234427,-9.84467498,330.910662,4.98484934,True,True,False
joint_08629,NGRIP_03973,6986,True,,55,11.6271483,0.002986736,0.15249481,-7.56876743,339.385281,4.28920985,True,True,False
joint_08630,NGRIP_04137,1429,True,,55,13.5592987,0.00113667339,0.177835755,-9.5009179,326.860949,4.90201834,True,True,False
joint_08631,NGRIP_09922,1887,True,,55,11.1311087,0.00382745827,0.145989048,-7.07272784,334.037119,4.15217701,True,True,False
