event_id,source_row,event_age_ka,pick_value,source_excel_row,event_index,dataset_id,event_type,event_label,event_definition,age_column,pick_column,analysis_start_ka,analysis_end_ka,source,left_control_id,right_control_id,right_control_weight,in_published_alignment_gap,in_long_control_interval,beyond_last_published_control
Barker_S3_062,52,291.42979144658676,1,62,53,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_51,S1_52,0.50860066304876106,True,True,False
Barker_S3_063,53,297.52778461963123,1,63,54,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_51,S1_52,0.62266712719100703,True,True,False
Barker_S3_064,54,301.83105070495697,1,64,55,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_51,S1_52,0.70316219051546891,True,True,False
Barker_S3_065,55,306.88891795216438,1,65,56,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_51,S1_52,0.79777250191104343,True,True,False
Barker_S3_066,56,317.78015848795508,1,66,57,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_52,S1_53,0.0043898405232797796,False,False,False
Barker_S3_067,57,327.90134618362464,1,67,58,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_52,S1_53,0.55867175156761528,False,False,False
Barker_S3_068,58,334.86094583642779,1,68,59,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_52,S1_53,0.93981083441554258,False,False,False
Barker_S3_069,59,335.20995230869227,1,69,60,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_52,S1_53,0.95892400376189957,False,False,False
Barker_S3_070,60,335.74372691333201,1,70,61,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_52,S1_53,0.9881559098210313,False,False,False
Barker_S3_071,61,336.25253465346543,1,71,62,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_53,S1_54,0.042581463386528684,False,False,False
Barker_S3_072,62,349.3827409805063,1,72,63,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_54,S1_55,0.88193014542480597,False,False,False
Barker_S3_073,63,351.12312290502797,1,73,64,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_55,S1_56,0.67962433466770933,False,False,False
Barker_S3_074,64,366.80497398368038,1,74,65,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_56,S1_57,0.99901726511971156,False,False,False
Barker_S3_075,65,372.80446259168701,1,75,66,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_59,S1_60,0.010085665127224704,False,False,False
Barker_S3_076,66,378.19056315366049,1,76,67,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_60,AUX_400,0.0018564372384674681,False,False,True
Barker_S3_077,67,387.37811745776349,1,77,68,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_60,AUX_400,0.42233947175119024,False,False,True
Barker_S3_078,68,392.24569589702332,1,78,69,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_60,AUX_400,0.64511194036720054,False,False,True
Barker_S3_079,69,396.46426387771521,1,79,70,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_60,AUX_400,0.83818141316774442,False,False,True
