realization_id,n_predictive_events,n_predictive_bins,response_exposure_kyr,loglik_reduced,loglik_full,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used,fit_valid,invalid_reason
Barker_MC_09729,70,1993,398.5,-301.113090551,-297.434159998,7.35786110543,0.0252499639063,0.0758224980597,-3.33568575727,-0.103867812471,0.468674689039,347.504062616,2.61193852615,True,True,False,True,
Barker_MC_09730,70,1993,398.5,-300.221467881,-297.372438982,5.6980577979,0.057900520839,0.0587182837695,-1.67588244974,-0.0661559614939,0.415110415379,350.944946831,2.31798429032,True,True,False,True,
Barker_MC_09731,70,1993,398.5,-301.702409194,-298.199070913,7.00667656132,0.0300967441557,0.0722035537724,-2.98450121316,-0.158521978125,0.441926373339,340.266746554,2.55741120672,True,True,False,True,
Barker_MC_09732,70,1993,398.5,-301.351221226,-298.000674707,6.70109303803,0.0350651850727,0.0690545263893,-2.67891768987,-0.222433066782,0.403679064032,331.1445931,2.51383542885,True,True,False,True,
Barker_MC_09733,70,1993,398.5,-299.806274186,-296.099960328,7.41262771592,0.0245679173997,0.0763868660408,-3.39045236776,-0.215398183731,0.435001392372,333.656921146,2.64010694249,True,True,False,True,
Barker_MC_09734,70,1993,398.5,-299.738425744,-295.905794934,7.66526161949,0.0216525768235,0.0789902494682,-3.64308627133,-0.164839970246,0.464870227981,340.475823361,2.68172821503,True,True,False,True,
Barker_MC_09735,70,1993,398.5,-297.195558458,-292.739605087,8.91190674249,0.0116092466751,0.0918368833018,-4.88973139432,-0.178710329932,0.50406222823,340.47853649,2.91424121929,True,True,False,True,
Barker_MC_09736,70,1993,398.5,-298.473574154,-295.581837544,5.78347321948,0.0554797821747,0.0595984866632,-1.76129787132,-0.124774059615,0.407621057198,342.980489257,2.34569273984,True,True,False,True,
Barker_MC_09737,70,1993,398.5,-299.936311256,-295.508929228,8.85476405668,0.0119457223344,0.0912480299487,-4.83258870852,-0.286404894638,0.45377430617,327.741454639,2.92471997588,True,True,False,True,
Barker_MC_09738,70,1993,398.5,-298.161707208,-293.728345399,8.86672361784,0.0118745026871,0.0913712728028,-4.84454826968,-0.106042829219,0.520349039228,348.481326486,2.89240661164,True,True,False,True,
Barker_MC_09739,70,1993,398.5,-299.571615772,-296.354125604,6.43498033621,0.0400554646891,0.0663122444234,-2.41280498805,-0.113979160337,0.434193775339,345.291289411,2.45422129618,True,True,False,True,
Barker_MC_09740,70,1993,398.5,-302.892640949,-299.808199517,6.1688828649,0.0457555843483,0.0635701194073,-2.14670751674,-0.1199789231,0.42062690125,344.079818352,2.39841296014,True,True,False,True,
Barker_MC_09741,70,1993,398.5,-300.165072076,-297.152260256,6.0256236402,0.049153274103,0.0620938381713,-2.00344829204,-0.100002838238,0.420452263122,346.62102373,2.3734927238,True,True,False,True,
Barker_MC_09742,70,1993,398.5,-298.328021218,-294.289078785,8.07788486674,0.0176160927596,0.0832423174152,-4.05570951858,-0.131106385654,0.488391256029,344.973477228,2.74935193116,True,True,False,True,
