phase_deg,mc_q025,mc_median,mc_q975
123.5,0.56709322177132,0.6264467874356486,0.6957095383632185
124.0,0.5655254061602638,0.6247315590795692,0.6939259473641242
124.5,0.5641465721335985,0.6231548255285637,0.6920216676455164
125.0,0.5627089067180973,0.6216486996973737,0.6901582077787672
125.5,0.5612830692894654,0.6201206323824424,0.6884049152189922
126.0,0.5598975782423539,0.6186171974125451,0.6867161024511274
126.5,0.5585307194663639,0.6170663239100731,0.6850863805785617
127.0,0.5570731365031149,0.6155494163216989,0.6833975373520613
127.5,0.5557396590956867,0.6140305445953083,0.6816094891912863
128.0,0.554406242222956,0.6126341260351724,0.6798462532347128
128.5,0.5531060586490723,0.6111718250361142,0.6781494011986299
129.0,0.5518678819685342,0.6097703736194038,0.676539834414488
129.5,0.5506239601642642,0.6083704542181272,0.6752762652569857
130.0,0.5493700007851335,0.6069873947326081,0.6736838771187501
130.5,0.5482405178513106,0.6056777242932077,0.6721528792689736
131.0,0.547057984622147,0.6044042337931284,0.6706215733055401
131.5,0.5458958017881101,0.6031902940107671,0.6690592557217179
132.0,0.5447591549606521,0.6019567624286387,0.6674913746610398
132.5,0.5437332205979193,0.6007678901641718,0.6659052224997098
133.0,0.5427210205086868,0.5995391046179968,0.6643953865894097
133.5,0.5416390949968752,0.5983724208519626,0.6632282789843787
134.0,0.5405391815151549,0.5972484399788924,0.6618044494438109
134.5,0.5395058857912959,0.5961053045758233,0.6603155754326717
135.0,0.5385292013092176,0.5950066966825884,0.6591093082931603
135.5,0.5376350196203018,0.5938624780344379,0.6577506833316675
136.0,0.536704545966967,0.5927776104284121,0.6563683350248423
136.5,0.5358279224457101,0.5917079644633131,0.6553074356246836
137.0,0.534995121792153,0.5907240953111854,0.6539810134555966
137.5,0.5342046489462554,0.5898001911619943,0.6528818382912711
138.0,0.5333524486976751,0.5888394020595809,0.6516249278409346
138.5,0.5326218820095611,0.5879456291587699,0.6502956610138949
139.0,0.5319438169769878,0.5870513147396537,0.6492353073835628
139.5,0.5311987248697614,0.5861451119986347,0.6482012457219439
140.0,0.530317696910426,0.5852956857476026,0.6472096833210012
140.5,0.5295294054775611,0.584497055516039,0.6463538212692358
141.0,0.5289798856495412,0.5836962723593899,0.6454616152656453
141.5,0.5282544920756327,0.5829364361583595,0.6445463943453941
142.0,0.5275347461733029,0.5821886683923605,0.6436594129501999
142.5,0.5268608020772206,0.5814786320499299,0.6426979495366795
143.0,0.5262427360006691,0.5807889985841799,0.6418615916007419
143.5,0.5256997085018246,0.5801695919455769,0.6409825027315447
144.0,0.5251512009321231,0.57951652632938,0.6400976737439567
144.5,0.5246633443331195,0.5788877140463462,0.639219972224657
145.0,0.5242153329398073,0.5782694296092497,0.6384309885217693
145.5,0.5237288500330995,0.5777116005009708,0.6375776928067907
146.0,0.5232759451910393,0.5771137197967855,0.6366715003272035
146.5,0.5228782496401776,0.5766139581245853,0.6360035946886038
147.0,0.5223277903910752,0.576117570957854,0.6352767331587813
147.5,0.5218823535344034,0.5757125960828844,0.6344659724521379
148.0,0.5214589496312705,0.5752876536889528,0.6339631111108671
148.5,0.5211779438151999,0.5748817322328388,0.6333576042635333
149.0,0.5208985961051815,0.5744327423027096,0.6326733550076659
149.5,0.5206447333473054,0.574032930172973,0.6322105128288387
150.0,0.5204165588840068,0.573673156315182,0.6318441261191008
150.5,0.5201388282348061,0.5732963871972926,0.6313555915586132
151.0,0.5198317656509672,0.5729693216934215,0.6310644331922313
151.5,0.519767430742722,0.5726349210469535,0.6305097437885793
152.0,0.5195896997380658,0.5724312567533008,0.6299916362988343
152.5,0.519352076326502,0.5721904079526258,0.6294733144751395
153.0,0.5191319599973014,0.5720415570124495,0.6291040008848018
153.5,0.5190484554307052,0.5718737634235557,0.6287593318142608
154.0,0.5191072274223038,0.5716756844405939,0.6284739851532285
154.5,0.5190644465038674,0.5715734437882183,0.6281090449723133
155.0,0.5190141721226651,0.5714949096666453,0.6278592489252499
155.5,0.5190976683888593,0.5713833464454657,0.6275815125982753
156.0,0.5190781338757468,0.5713810354468428,0.6274252756931906
156.5,0.5191428188327812,0.5713123206776375,0.627341181433247
157.0,0.5191620487191599,0.5713110740060342,0.6272433683443601
157.5,0.5192750589012134,0.5713447644653918,0.6269789508087996
158.0,0.5193930034874084,0.5713011560190606,0.6267774586847785
158.5,0.5195857522319455,0.5713756957705804,0.6265864870092892
159.0,0.5197763189942681,0.5714281987454654,0.6265562410985741
159.5,0.5200516573795085,0.5715918690570487,0.6265542431097785
160.0,0.5201908213809217,0.5717674168086095,0.6266003136000265
160.5,0.5203976012151851,0.5719257119974707,0.6265849237055466
161.0,0.5206958512206042,0.5720890997347321,0.6265916837618215
161.5,0.5210089685434606,0.5723100380669056,0.6265680507674394
162.0,0.5212484067816168,0.5725398864454323,0.6267584066357058
162.5,0.5216482847482946,0.5727460004054097,0.6268991176648949
163.0,0.5219549380119567,0.5730243757973956,0.6269866855146103
163.5,0.5224133860337165,0.5733301202074113,0.6270418196813488
164.0,0.52287915074988,0.5736505767100928,0.627181689548159
164.5,0.5232780275809084,0.574065899330835,0.6272786009969137
165.0,0.5236889982059454,0.5744538676767525,0.6276894130485402
165.5,0.5243023536133312,0.5747779236786021,0.6279697124045631
166.0,0.5248802136501282,0.5751429859796462,0.6283962798847468
166.5,0.525505550041175,0.5755958030962192,0.6287537553713829
167.0,0.5258917185672538,0.5761044595447742,0.6292979175823984
167.5,0.5263260317831873,0.5765734311238848,0.6298188748144471
168.0,0.5269773906865842,0.5771155199438516,0.6303510207006405
168.5,0.5277646661998079,0.5777081923535146,0.6308613586153499
169.0,0.5283639743733339,0.5782781526612664,0.6314120212483518
169.5,0.5289217649961052,0.5788496404424468,0.6320418493326154
170.0,0.5295469813668958,0.5794526231956489,0.6325351369636517
170.5,0.5303281158742545,0.5800928943653922,0.6331120070639136
171.0,0.5311349144411432,0.5808100331118955,0.6337656840589682
171.5,0.5319697589579286,0.5815425915491423,0.63446500624862
172.0,0.5327656940142884,0.5822558973806755,0.6351267312849478
172.5,0.5336021744265124,0.5829633160844712,0.6357922155284074
173.0,0.5344293376411963,0.5836874977337154,0.6365712589476521
173.5,0.5352999625431419,0.5844933150490021,0.6374642941657902
174.0,0.5361100097013335,0.585288099521082,0.6382518111113693
174.5,0.5369740891121018,0.5861240838794115,0.6388630972175663
175.0,0.5380280603317534,0.5869726981285115,0.6398197661745172
