bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_NGRIP,n_events_response_MIS6,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
178,61,59,True,finite_mle,1,,39,20,-113.724949996,-113.358941748,0.366008248107,0.732016496214,0.00894980143167,True,True,True,4
179,63,61,True,finite_mle,1,,35,26,-116.882737097,-115.860592406,1.02214469086,2.04428938171,0.0241744766651,True,True,True,4
180,54,52,True,finite_mle,1,,32,20,-108.113727933,-106.809674513,1.30405342029,2.60810684057,0.0361798346635,True,True,True,4
181,46,44,True,finite_mle,1,,32,12,-98.6929243232,-98.6421896972,0.0507346260535,0.101469252107,0.00166351348656,True,True,True,4
182,52,50,True,finite_mle,1,,28,22,-103.490984114,-103.114421826,0.376562288168,0.753124576335,0.0108652909145,True,True,True,4
183,61,59,True,finite_mle,1,,40,19,-116.935346318,-116.52989798,0.405448338437,0.810896676874,0.0099142085966,True,True,True,4
184,63,61,True,finite_mle,1,,35,26,-121.090809913,-116.584094033,4.50671588008,9.01343176015,0.106587158211,True,True,True,4
185,42,40,True,finite_mle,1,,22,18,-92.4225083466,-92.3445624435,0.0779459031495,0.155891806299,0.00281130419828,True,True,True,4
186,49,47,True,finite_mle,1,,26,21,-101.044301507,-100.877891239,0.166410268486,0.332820536971,0.00510806955526,True,True,True,4
187,59,57,True,finite_mle,1,,44,13,-110.511150917,-110.100747214,0.410403703329,0.820807406657,0.0103874980273,True,True,True,4
188,55,53,True,finite_mle,1,,39,14,-106.574194879,-105.652004523,0.922190355777,1.84438071155,0.0251026311893,True,True,True,4
189,45,43,True,finite_mle,1,,23,20,-98.4972505973,-97.0921327289,1.40511786838,2.81023573676,0.0471431762925,True,True,True,4
190,56,54,True,finite_mle,1,,35,19,-110.740639641,-109.481228845,1.25941079577,2.51882159155,0.0336471427686,True,True,True,4
191,50,48,True,finite_mle,1,,21,27,-94.7207842736,-94.0780309859,0.642753287656,1.28550657531,0.0193186870962,True,True,True,4
192,58,56,True,finite_mle,1,,35,21,-108.804997004,-108.749237073,0.0557599310552,0.11151986211,0.00143651028596,True,True,True,4
193,54,52,True,finite_mle,1,,32,20,-105.252539387,-105.012135471,0.240403916484,0.480807832968,0.00666979881003,True,True,True,4
194,53,51,True,finite_mle,1,,33,18,-107.601883872,-104.038019728,3.56386414383,7.12772828766,0.100815080916,True,True,True,4
195,54,52,True,finite_mle,1,,39,13,-105.255907965,-105.145983504,0.109924460725,0.21984892145,0.00304975912232,True,True,True,4
196,54,52,True,finite_mle,1,,32,20,-108.254403538,-107.584177666,0.670225872571,1.34045174514,0.0185948373583,True,True,True,4
197,60,58,True,finite_mle,1,,37,21,-116.245469037,-113.225457474,3.02001156295,6.0400231259,0.0751199259533,True,True,True,4
198,61,59,True,finite_mle,1,,31,28,-110.352662212,-110.288123637,0.0645385756845,0.129077151369,0.00157812683197,True,True,True,4
199,56,54,True,finite_mle,1,,32,22,-106.042660705,-105.851742316,0.190918388261,0.381836776522,0.00510068540665,True,True,True,4
200,53,51,True,finite_mle,1,,32,19,-101.886117194,-101.208456241,0.677660953484,1.35532190697,0.0191697666078,True,True,True,4
201,47,45,True,finite_mle,1,,28,17,-102.870250218,-101.164408045,1.70584217324,3.41168434648,0.054689112086,True,True,True,4
202,48,46,True,finite_mle,1,,31,15,-99.8164326825,-98.6947283792,1.12170430333,2.24340860666,0.0351799399078,True,True,True,4
203,53,51,True,finite_mle,1,,30,21,-109.417853606,-109.370873164,0.0469804417782,0.0939608835564,0.00132898922298,True,True,True,4
204,50,48,True,finite_mle,1,,30,18,-103.432234015,-102.880456811,0.551777203711,1.10355440742,0.0165842965723,True,True,True,4
