realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
5834,135.225446,138.554565,146.373614,146.992423,148.631379,149.710558,150.637496,151.272959,159.741034,160.981926,165.147855,169.156596,170.181618,171.506204,172.636121,175.315305,176.737840,179.788793,180.244139,190.503337,194.366588
5835,134.070100,137.860014,145.755728,146.284946,147.743185,148.627070,149.812095,150.540443,158.772989,160.543542,164.379626,166.417573,167.912875,169.854439,171.382744,172.772080,176.727320,179.284472,179.754327,190.796598,194.249622
5836,135.641303,138.785113,146.624456,147.258006,148.951242,150.068002,150.916610,151.538581,160.068999,161.042633,165.401542,170.313186,170.962842,172.415594,173.077715,176.192414,177.023253,179.797847,180.290895,190.619403,194.625037
5837,135.172459,138.505850,146.373437,146.970985,148.589984,149.624300,150.582154,151.242604,159.674441,160.780093,165.120549,169.071689,170.044929,171.754962,172.570832,175.165839,176.295563,180.031797,180.564437,191.142087,194.174215
5838,134.705730,138.231622,146.106552,146.681463,148.230968,149.203335,150.269836,150.944068,159.295370,160.777381,164.843498,167.865003,169.144702,171.126879,172.071180,174.158542,176.719297,179.598438,180.101618,191.155264,193.471600
5839,134.774509,138.283478,146.132450,146.716291,148.284713,149.287668,150.315338,150.987054,159.363201,160.810823,164.848011,168.087542,169.296116,170.861512,172.146922,174.322672,176.275096,179.887996,180.518961,191.827704,194.676597
5840,134.121830,137.882976,145.794482,146.323830,147.781527,148.653146,149.854679,150.574781,158.805750,160.557838,164.492424,166.350543,167.999027,170.307811,171.438561,172.876414,177.008928,180.508371,180.966077,190.916351,193.778232
5841,134.963558,138.385571,146.244350,146.839379,148.429423,149.446276,150.453153,151.107131,159.511567,160.874322,164.998519,168.533729,169.650587,171.488547,172.350520,174.724679,177.062438,180.274732,180.753908,191.428698,194.428061
5842,135.699773,138.825164,146.637826,147.290303,148.996103,150.139985,150.976608,151.572750,160.128908,161.151133,165.441174,170.443246,171.095119,172.521273,173.148162,176.341260,177.452230,179.770781,180.173257,190.591013,194.405354
5843,135.464002,138.684386,146.511817,147.145896,148.814625,149.917827,150.808973,151.423637,159.931206,161.062485,165.299415,169.831729,170.632512,172.190546,172.892719,175.823555,176.348200,179.689665,180.207778,190.926708,194.232153
