realization_id,within_observation_support,comparison_id,df,LR_statistic,info_bits_per_event,nominal_p,delta_AIC,delta_AICc,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,n_bins,exposure_kyr
joint_02413,True,lr04_phase_interaction,2.0,1.9216381916485261,0.025203071722492403,0.38257938842086625,2.078361808351474,2.154962077560924,-200.11644679714027,-199.155627701316,True,,True,55.0,901.0,180.0
joint_01235,True,lr04_phase_interaction,2.0,2.8251214514571075,0.03705262461751091,0.2435188989463546,1.1748785485428925,1.2514788177523428,-199.71517945068092,-198.30261872495237,True,,True,55.0,901.0,180.0
joint_03453,True,lr04_phase_interaction,2.0,3.21469693213146,0.04216206656315475,0.20041832615651484,0.78530306786854,0.8619033370779903,-200.44962853974627,-198.84228007368054,True,,True,55.0,901.0,180.0
joint_00468,True,lr04_phase_interaction,2.0,0.08046614302412536,0.0010553464136397067,0.9605655325990992,3.9195338569758746,3.996134126185325,-198.8677956674661,-198.82756259595405,True,,True,55.0,901.0,180.0
joint_04382,True,lr04_phase_interaction,2.0,0.09709833608064855,0.001273484435837469,0.9526105001628645,3.9029016639193514,3.9795019331288017,-199.42747713173765,-199.37892796369732,True,,True,55.0,901.0,180.0
joint_07696,True,lr04_phase_interaction,2.0,1.8963448621325938,0.024871339349217803,0.387448465587082,2.103655137867406,2.1802554070768565,-200.7252823265128,-199.7771098954465,True,,True,55.0,901.0,180.0
joint_03691,True,lr04_phase_interaction,2.0,5.237423710084784,0.06869095648703268,0.07289670389555956,-1.2374237100847836,-1.1608234408753333,-201.14787495414393,-198.52916309910154,True,,True,55.0,901.0,180.0
joint_02633,True,lr04_phase_interaction,2.0,3.6174534474973257,0.047444383175918876,0.16386264644554605,0.38254655250267433,0.4591468217121246,-201.62680542847684,-199.81807870472818,True,,True,55.0,901.0,180.0
joint_09160,True,lr04_phase_interaction,2.0,0.08564600118711496,0.0011232823744056458,0.9580809548204847,3.914353998812885,3.9909542680223353,-198.00313266514786,-197.9603096645543,True,,True,55.0,901.0,180.0
joint_00709,True,lr04_phase_interaction,2.0,1.7564346534539936,0.023036359674396382,0.4155229935584316,2.2435653465460064,2.3201656157554567,-199.42073480775264,-198.54251748102564,True,,True,55.0,901.0,180.0
joint_02934,True,lr04_phase_interaction,2.0,0.6047380995500475,0.007931387793249726,0.7390652626849104,3.3952619004499525,3.4718621696594028,-198.94384353145415,-198.64147448167913,True,,True,55.0,901.0,180.0
