model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-103.97733094144388,225.95466188288776,329.54074484262634,4.6517747511993885,53,168.51622000000003,finite_mle,joint_03165
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-105.10538984561748,224.21077969123496,328.14018501902615,4.451967595354567,53,167.69625900000005,finite_mle,joint_02128
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.47155792600756,218.94311585201513,335.5138816412548,4.181543981486512,53,167.69625900000005,finite_mle,joint_02128
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.97263820374735,219.9452764074947,320.1734266639593,6.136743863026706,53,163.41996800000004,finite_mle,joint_01860
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-102.67381487532401,223.34762975064803,321.6058717707947,5.787190615165047,53,163.41996800000004,finite_mle,joint_01860
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-104.52871622971958,223.05743245943916,341.91641218579105,4.861612290509957,53,167.50598400000004,finite_mle,joint_00984
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-99.74855407377666,217.49710814755332,348.6484337173937,4.6165249118386,53,167.50598400000004,finite_mle,joint_00984
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-100.81368876943179,215.62737753886358,320.05273528031273,8.231268788885705,53,160.82975500000003,finite_mle,joint_02981
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.76856265632091,219.53712531264182,319.3354661088854,8.224990721564536,53,160.82975500000003,finite_mle,joint_02981
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.06927446267389,216.13854892534778,322.83993887406973,7.947252020880595,53,164.85656300000005,finite_mle,joint_09341
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-99.74150038683706,217.48300077367412,325.9446876011532,7.859109742504934,53,164.85656300000005,finite_mle,joint_09341
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.98637602586768,217.97275205173537,318.70179067908043,6.403731447899857,53,158.685088,finite_mle,joint_07575
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-101.79100437393073,221.58200874786147,318.99008697048856,5.939198708666851,53,158.685088,finite_mle,joint_07575
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.16153232883465,218.3230646576693,322.0730162210443,6.943163587140757,53,161.05560300000002,finite_mle,joint_08714
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-102.00335784425704,222.00671568851408,321.852377680038,6.546266268518705,53,161.05560300000002,finite_mle,joint_08714
