background_id,phase_deg,rate_multiplier_point,rate_multiplier_q025,rate_multiplier_median,rate_multiplier_q975
q25,27.0,2.1431923405664453,1.1011856390043475,1.8362701137172972,2.2969788100072277
q25,28.0,2.124783463105973,1.0822332562966939,1.8229118027027258,2.270687253847919
q25,29.0,2.1060491560119434,1.069446973736144,1.8098678382552402,2.244517699431838
q25,30.0,2.0870064816106257,1.064822189577589,1.796851303900369,2.2183984211959573
q25,31.0,2.0676725495739574,1.0582785563771921,1.7836793480632651,2.1979755237094505
q25,32.0,2.0480644892163706,1.0504870398651422,1.7706072346690058,2.1828403195661066
q25,33.0,2.0281994223406308,1.0354538538987232,1.7592847865054142,2.159823272979124
q25,34.0,2.008094436693641,1.0189095456811814,1.7510647241690465,2.1390268188969186
q25,35.0,1.9877665600896066,1.0020651287633655,1.7368913016257612,2.124138347359776
q25,36.0,1.9672327352542522,0.9854987973905472,1.7221299610943568,2.114011337619393
q25,37.0,1.9465097954399635,0.9692108985019319,1.7089183572019135,2.1038420893942518
q25,38.0,1.9256144408578368,0.9532015270007339,1.693053979439939,2.090904718134116
q25,39.0,1.9045632159686328,0.9374705369885944,1.6859540054363862,2.0689570869427136
q25,40.0,1.8833724876706082,0.9220175529189301,1.6664240451015837,2.0499989743230294
q25,41.0,1.8620584244181453,0.9068419806474636,1.6532760159103612,2.0374745995665946
q25,42.0,1.8406369763010293,0.8919430183597167,1.6378395609088139,2.027109060081762
q25,43.0,1.819123856110175,0.8773196673567596,1.6193636141421537,2.0164026265487753
q25,44.0,1.7975345214115659,0.8629707426819898,1.6119113666591547,2.0071900239901703
q25,45.0,1.7758841576462032,0.8488948835731759,1.592382359248807,1.9985852491976677
q25,46.0,1.7541876622699284,0.8350905637254216,1.5857671067827357,1.9899153269924013
q25,47.0,1.7324596299431558,0.8215561013520917,1.5655587680053862,1.9726241183141706
q25,48.0,1.7107143387767965,0.808100924281288,1.554342774718411,1.9523457855663109
q25,49.0,1.6889657376370302,0.793521019441491,1.53635774880989,1.9456728986441882
q25,50.0,1.6672274345080533,0.7792651586170747,1.5187875402741626,1.9357571999809655
q25,51.0,1.6455126859085518,0.7653295483348624,1.5040978646770768,1.9193322567606175
q25,52.0,1.6238343873544117,0.7517102860717035,1.485797819856793,1.909560453705215
q25,53.0,1.602205064857075,0.7415218200250651,1.4649229414202398,1.8975655420760347
q25,54.0,1.580636867444039,0.7323242518851765,1.446769734503915,1.887543438223891
q25,55.0,1.5591415606852133,0.7198206304036656,1.4287467024359761,1.878432305526656
q25,56.0,1.5377305212062735,0.7076050673088529,1.4130377470459183,1.8705782353357991
q25,57.0,1.516414732167727,0.6955972996401837,1.4000055886264724,1.8586832609926536
q25,58.0,1.495204779686177,0.68503614003216,1.3833906406353076,1.8433463236309258
q25,59.0,1.4741108501722175,0.6758591140245866,1.3686308081955763,1.8281234192518703
q25,60.0,1.4531427285575216,0.6667540123921682,1.3519095073642553,1.8180511417210028
q25,61.0,1.4323097973820096,0.6578536314724474,1.3329426563309397,1.809437493638515
q25,62.0,1.4116210367104731,0.6491556889464511,1.3151289449709627,1.8004193002962408
q25,63.0,1.3910850248467166,0.639873768606127,1.2962667059362503,1.7880896589788284
q25,64.0,1.3707099398121376,0.6305628825146702,1.2782516066240375,1.7755303020328703
q25,65.0,1.3505035615547007,0.6214750377940749,1.2649825105297667,1.7670620855686743
q25,66.0,1.3304732748534658,0.6126071870981108,1.2517615257900272,1.7544772829703505
q25,67.0,1.3106260728832066,0.6030660548371731,1.2385939968528,1.7472410509922114
q25,68.0,1.290968561403188,0.5934658077868,1.2254851007587295,1.7383828139665605
q25,69.0,1.2715069635338607,0.5837842979777819,1.2099402294984594,1.7281422685960366
q25,70.0,1.2522471250850695,0.574338191950729,1.191137255851733,1.7181554237729662
q25,71.0,1.2331945203993593,0.565141963132683,1.1734878755773153,1.7091476577551832
q25,72.0,1.2143542586740652,0.5561361891273374,1.159579369959921,1.6999101318999321
q25,73.0,1.1957310907261318,0.5463441872883107,1.1431528984569337,1.6957278942088039
q25,74.0,1.1773294161639591,0.5368011368355612,1.1272776900014596,1.6923961908797052
q25,75.0,1.1591532909310536,0.5275248890629602,1.1138136601476003,1.6835103190601641
q25,76.0,1.1412064351868396,0.518510097722276,1.0955923667559377,1.6737383237566132
q25,77.0,1.123492241490663,0.5097514851766931,1.0793483907680743,1.6643337461360614
q25,78.0,1.1060137832557808,0.5012438465106438,1.0635136239660812,1.6516710033344926
q25,79.0,1.0887738234409718,0.4929820532949942,1.0459978920064643,1.6410501178649621
q25,80.0,1.0717748234483249,0.48496105702338,1.0287565458618626,1.6317035838145033
q25,81.0,1.0550189521967268,0.477175892235321,1.0117906537103547,1.6229735868827464
q25,82.0,1.0385080953416217,0.47111453416892807,0.9951224566163757,1.6144066053903854
q25,83.0,1.0222438646126812,0.4652074558935481,0.9848688613324379,1.6056373180222303
q25,84.0,1.006227607242166,0.4593664175645522,0.9717215691495311,1.601441001797609
q25,85.0,0.9904604154579018,0.45250843169807453,0.9579764922158727,1.596455387709805
q25,86.0,0.9749431360159893,0.4457127089681931,0.9431839125291044,1.5901201489318806
q25,87.0,0.9596763797495742,0.43912725011702375,0.9286275843232905,1.582237986250953
q25,88.0,0.944660531111217,0.432747686600496,0.917124916813489,1.5734519924031414
q25,89.0,0.9298957576876458,0.4265697475913948,0.9044475928649034,1.5644987589987955
q25,90.0,0.9153820196668956,0.4207509898034865,0.8915402378000865,1.5535825091271587
q25,91.0,0.9011190792390805,0.4152207678659386,0.8784416299243242,1.5422500978534226
