background_id,beta_sin,beta_cos,phase_amplitude,preferred_phase_deg,rate_ratio_max_vs_min,realization_id
q75,-0.5140701007599393,0.5821582008493902,0.7766442166858214,318.5541462519391,4.726989040749393,joint_06374
q25,0.1348321935136274,0.198202568210207,0.23971645428050622,34.22646348099339,1.615158200044394,joint_09863
q50,-0.13411490727013428,0.6860262653155896,0.6990127645865507,348.9384547729952,4.047200992282549,joint_09863
q75,-0.26360795579565044,0.9209043416996652,0.9578903699902486,344.02628293533564,6.792239700507702,joint_09863
q25,0.17745850535279983,0.3015893210443519,0.3499251915624864,30.47302800670269,2.0134514386213214,joint_03150
q50,-0.15580447329762936,0.678104215680859,0.6957732110563791,347.06003554667114,4.021063508970171,joint_03150
q75,-0.31626442598117094,0.85938916495029,0.9157362742488453,339.79584384393337,6.243073121054307,joint_03150
q25,-0.06328115588875238,0.49516048273078644,0.4991877485964595,352.7171186921714,2.713869556842425,joint_02236
q50,-0.41707417996108037,0.637841550670685,0.7620975760046687,326.8199822175068,4.591446665160627,joint_02236
q75,-0.58741896932924,0.7065398426417481,0.9188359999303753,320.2597810106463,6.281896968156595,joint_02236
q25,-0.24921830454861743,0.5602300032855162,0.6131618219551646,336.0181112291907,3.408674969918238,joint_02657
q50,-0.4179203059657418,0.5538338927865639,0.6938222848378527,322.96197692940746,4.005404481991111,joint_02657
q75,-0.49914719553695064,0.5507542840278091,0.7432887757711585,317.8140644310687,4.421935744858273,joint_02657
q25,-0.2373518221012254,0.7119903732048087,0.7505106121775326,341.56347972644477,4.4862682181391875,joint_02161
q50,-0.39746746427835355,0.7960572453879383,0.889768241226049,333.4672691858616,5.927108462996609,joint_02161
q75,-0.4745601808821568,0.8365338875501862,0.9617672848973046,330.4340425767272,6.845110281054348,joint_02161
q25,0.06490196984588886,0.3436682999673149,0.349743000061904,10.69439334155222,2.0127179047951613,joint_01983
q50,-0.3102615680334433,0.5963472326545403,0.672229322845485,332.51339306893874,3.836109284093941,joint_01983
q75,-0.49089586404941976,0.7180074595039463,0.8697778229203924,325.63990117146045,5.694812346814339,joint_01983
q25,0.17561847522109908,0.4552856747069177,0.4879824734888714,21.093247257399888,2.653726681448382,joint_00577
q50,-0.2997556690659361,0.6462806533021005,0.7124129027254889,335.1173488827113,4.157133629663008,joint_00577
q75,-0.5286395163152516,0.7382411985516338,0.9079976902222693,324.3943187529768,6.147191927824608,joint_00577
q25,-0.05988084257952145,0.35318406881515596,0.3582243735047383,350.37725455264496,2.0471503378765377,joint_03580
q50,-0.33784596705146847,0.6545072691977375,0.7365593410483785,332.69795565210023,4.362820195553986,joint_03580
q75,-0.4716810269824072,0.7995888101226856,0.9283454402799587,329.46345472364277,6.402514991268816,joint_03580
q25,-0.2020334752768658,0.5494647305905724,0.5854306238107282,339.8119571990122,3.224768767320343,joint_04237
q50,-0.42969454431580095,0.6520537784430545,0.7809043036100056,326.61566284069175,4.767435871490016,joint_04237
q75,-0.5393091331123264,0.7014485051868427,0.8848075194567602,322.44509365558673,5.868593746253893,joint_04237
q25,0.0765496114474804,0.37401290237162255,0.3817662821062188,11.567037434841554,2.145843176058852,joint_04486
q50,-0.2290897307371117,0.5896805299004498,0.6326177614269755,338.76894915999435,3.543927313699193,joint_04486
q75,-0.376249414011176,0.693520498710627,0.7890084306745969,331.51924055389975,4.845337301291968,joint_04486
q25,-0.04858813885816249,0.6610210598889806,0.6628043820422821,355.79605263258935,3.7644763355861057,joint_02446
q50,-0.38320557758912754,0.6718588155429842,0.7734602657656298,330.3010247042185,4.696983675540996,joint_02446
q75,-0.544317677718853,0.6770769941912081,0.8687433397386403,321.203402746937,5.683042151889652,joint_02446
q25,0.1663514285938829,0.3115538051757959,0.3531834810898487,28.099597756731256,2.0266150985254043,joint_09021
q50,-0.24992149736777874,0.58588760305402,0.6369654922041991,336.89840668754067,3.574877766627875,joint_09021
q75,-0.45034920246043264,0.7179742464768699,0.8475266501773127,327.902015465392,5.446936281111164,joint_09021
q25,-0.5117534899012139,0.6346510322184915,0.8152751481077224,321.11888755614996,5.106684134413006,joint_07453
q50,-0.5516986117160037,0.5830065168581117,0.8026630406767172,316.5804598021117,4.97948305461046,joint_07453
q75,-0.5709314481453471,0.5581406390920026,0.7984257582814901,314.3509466446275,4.937462407675824,joint_07453
q25,-0.019655022680126616,0.35387670665796417,0.3544221260469542,356.8209437411145,2.0316418354405577,joint_01980
q50,-0.32411120900959006,0.5885482515216207,0.6718907055279266,331.158595784857,3.833512217533633,joint_01980
q75,-0.47070122464970354,0.7015382546041231,0.8448168828567112,326.1401314222809,5.4174962688880175,joint_01980
q25,0.02482646325153748,0.41349384075037404,0.4142384695028645,3.4359544281933965,2.2898285345162646,joint_06123
q50,-0.4190505617926646,0.5459672905236084,0.6882467985108525,322.49239646477747,3.9609884274877114,joint_06123
q75,-0.6327691294065418,0.6097508033773885,0.8787450218062596,313.938687376607,5.797866723561306,joint_06123
q25,0.17540193455075867,0.006433349372951258,0.17551987530847632,87.89946095861099,1.4205437922820527,joint_03596
q50,-0.15030423471516308,0.5523772056088925,0.5724613002200232,344.7781070431258,3.1421981426734233,joint_03596
q75,-0.3071257236209788,0.8152390623150889,0.8711721637162745,339.35705922948034,5.710715529324361,joint_03596
q25,0.0364595637024408,0.34837835685739527,0.3502810005010705,5.974545114826004,2.0148847565867123,joint_02325
q50,-0.2574650854728659,0.666839664832635,0.7148170457058584,338.88855308286116,4.177170449708079,joint_02325
q75,-0.39898436100171863,0.8201728871910853,0.912070219449857,334.0587588975942,6.1974656285899155,joint_02325
q25,0.08996720687184387,0.5181639184022692,0.5259162905314064,9.849893967824752,2.862892796819915,joint_04360
q50,-0.2739172735914093,0.7154427234716058,0.7660867857757498,339.0499551235979,4.628225677056695,joint_04360
q75,-0.44912091233297746,0.8104288148012873,0.9265551563479776,331.00579324638744,6.379631344515876,joint_04360
q25,-0.45112939228985005,0.6612010348921809,0.8004402145883853,325.69475925848116,4.9573951389038,joint_05314
