bootstrap_id,attempt_count,n_events_observation_support,n_events_response,n_events_response_NGRIP,n_events_response_MIS6,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,reduced_converged,full_converged,likelihood_nesting_ok,eta_clipping_used
66,1,41,40,22,18,-161.08014712762954,-158.96764633811296,2.112500789516588,4.225001579033176,True,True,True,False
67,1,52,52,34,18,-193.28326125959518,-193.12741522190342,0.15584603769175942,0.31169207538351884,True,True,True,False
68,1,45,45,22,23,-172.85819913459522,-172.60232213667624,0.255876997918989,0.511753995837978,True,True,True,False
69,1,55,55,37,18,-208.51592828163302,-208.22249185613475,0.2934364254982711,0.5868728509965422,True,True,True,False
70,1,65,64,38,26,-227.87852507434297,-227.6995149138487,0.17901016049427199,0.35802032098854397,True,True,True,False
71,1,49,48,30,18,-187.90460428821538,-186.91134657100227,0.9932577172131118,1.9865154344262237,True,True,True,False
72,1,62,61,33,28,-221.06334101772282,-220.8784977692463,0.18484324847651123,0.36968649695302247,True,True,True,False
73,1,60,58,37,21,-215.38740234242744,-215.1461612459899,0.241241096437534,0.482482192875068,True,True,True,False
74,1,58,57,34,23,-211.37047718262465,-210.60762492699948,0.7628522556251767,1.5257045112503533,True,True,True,False
75,1,58,58,35,23,-212.27722504985306,-211.71557980842266,0.5616452414303978,1.1232904828607957,True,True,True,False
76,1,58,58,38,20,-214.62013566661483,-213.97205680303506,0.6480788635797694,1.2961577271595388,True,True,True,False
77,1,48,48,28,20,-187.02691322663858,-186.69207375910509,0.3348394675334987,0.6696789350669974,True,True,True,False
78,1,58,57,41,16,-209.61500087460857,-204.00719641933546,5.607804455273111,11.215608910546223,True,True,True,False
79,1,66,65,45,20,-236.82416505180527,-236.2647421813043,0.5594228705009527,1.1188457410019055,True,True,True,False
80,1,68,68,45,23,-242.20098939065267,-240.69246519260483,1.5085241980478372,3.0170483960956744,True,True,True,False
81,1,60,60,32,28,-222.4639052281483,-221.31793583195474,1.14596939619355,2.2919387923871,True,True,True,False
82,1,55,55,35,20,-206.80351576488349,-206.34667619284255,0.45683957204093417,0.9136791440818683,True,True,True,False
83,1,55,55,34,21,-204.0774045803908,-201.26922924978845,2.808175330602353,5.616350661204706,True,True,True,False
84,1,57,56,31,25,-203.02899654111724,-202.26757668288593,0.7614198582313065,1.522839716462613,True,True,True,False
85,1,53,53,35,18,-198.90255632170238,-198.27437511070605,0.6281812109963312,1.2563624219926623,True,True,True,False
86,1,62,61,36,25,-226.3145686183432,-225.57594282810112,0.7386257902420823,1.4772515804841646,True,True,True,False
87,1,59,59,36,23,-216.81091860775024,-216.62551806918157,0.1854005385686719,0.3708010771373438,True,True,True,False
88,1,62,61,39,22,-219.63166364199878,-218.79666736337427,0.8349962786245158,1.6699925572490315,True,True,True,False
89,1,49,49,33,16,-189.258140839737,-186.70630288655678,2.551837953180211,5.103675906360422,True,True,True,False
90,1,50,49,31,18,-190.72922589754415,-189.6284196803842,1.100806217159942,2.201612434319884,True,True,True,False
91,1,59,59,36,23,-214.66396013482162,-214.55110808522195,0.11285204959966677,0.22570409919933354,True,True,True,False
92,1,54,53,30,23,-199.96622152469774,-199.60550470776647,0.3607168169312729,0.7214336338625458,True,True,True,False
93,1,52,52,33,19,-189.8180821069716,-188.30410867440287,1.5139734325687186,3.0279468651374373,True,True,True,False
94,1,61,61,40,21,-222.57746648970783,-222.3136627887538,0.2638037009540426,0.5276074019080852,True,True,True,False
95,1,52,52,32,20,-198.63444066517013,-198.47736244132423,0.1570782238459003,0.3141564476918006,True,True,True,False
96,1,56,56,37,19,-211.92498821599023,-209.862620902863,2.0623673131272255,4.124734626254451,True,True,True,False
97,1,62,62,46,16,-223.83382137633026,-223.15586113892533,0.6779602374049318,1.3559204748098637,True,True,True,False
98,1,47,47,31,16,-180.91549623087985,-180.567663400484,0.3478328303958449,0.6956656607916898,True,True,True,False
99,1,64,64,37,27,-230.58457051704616,-229.81456256012234,0.7700079569238198,1.5400159138476397,True,True,True,False
100,1,53,53,34,19,-198.3529480901331,-197.16406160093868,1.1888864891944309,2.3777729783888617,True,True,True,False
101,1,57,57,31,26,-212.15253612650528,-212.02833030698832,0.12420581951695908,0.24841163903391816,True,True,True,False
102,1,58,57,38,19,-208.68640585117626,-208.15729324471548,0.5291126064607852,1.0582252129215703,True,True,True,False
103,1,51,51,26,25,-190.94192892603178,-189.44717448624877,1.4947544397830086,2.989508879566017,True,True,True,False
104,1,53,53,37,16,-199.23598619746951,-199.17101203928064,0.06497415818887475,0.1299483163777495,True,True,True,False
105,1,55,55,35,20,-209.54084096219918,-208.55023037989235,0.9906105823068287,1.9812211646136575,True,True,True,False
106,1,54,54,36,18,-200.63222351472808,-200.2952511103835,0.33697240434457854,0.6739448086891571,True,True,True,False
107,1,52,52,30,22,-200.69917221429594,-200.5920093384396,0.10716287585634632,0.21432575171269264,True,True,True,False
108,1,64,63,44,19,-226.10254895819043,-223.9130780490138,2.1894709091766344,4.378941818353269,True,True,True,False
109,1,55,54,33,21,-206.3002811232458,-205.75209610073884,0.5481850225069707,1.0963700450139413,True,True,True,False
110,1,60,59,38,21,-216.67001333696697,-213.7111674535936,2.9588458833733853,5.9176917667467706,True,True,True,False
