realization_id,within_observation_support,comparison_id,df,LR_statistic,gain_bits_per_event,nominal_p,delta_AIC,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,exposure_kyr
Barker_MC_09560,True,lr04_phase_interaction,2,5.310826071075155,0.055521032143216985,0.07026980874221692,-1.3108260710751551,-177.67322440449036,-175.01781136895278,True,,True,69,397.1612841093004
Barker_MC_05070,True,lr04_phase_interaction,2,3.960513208466068,0.04140444032774807,0.13803381270539325,0.039486791533931864,-179.50090023258747,-177.52064362835443,True,,True,69,396.10623681594126
Barker_MC_01557,True,lr04_phase_interaction,2,3.5547512667413343,0.03716247843566293,0.16908129683384313,0.44524873325866565,-182.86152068663708,-181.0841450532664,True,,True,69,396.3998450479955
Barker_MC_01221,True,lr04_phase_interaction,2,6.515116637047186,0.06811106132667503,0.03848224478323046,-2.5151166370471856,-176.94218936837825,-173.68463104985466,True,,True,69,395.7917396569046
Barker_MC_05402,True,lr04_phase_interaction,2,4.7759390438427545,0.04992915633434724,0.09181592495719725,-0.7759390438427545,-180.35984511899954,-177.97187559707817,True,,True,69,396.815277444913
Barker_MC_08424,True,lr04_phase_interaction,2,5.165581057562008,0.054002595471410696,0.07556284923754338,-1.165581057562008,-184.03156987670184,-181.44877934792083,True,,True,69,395.5043715398478
Barker_MC_06600,True,lr04_phase_interaction,2,4.5846112517776305,0.04792895592277775,0.10103324823275749,-0.5846112517776305,-180.07376970080816,-177.78146407491934,True,,True,69,395.8448590271982
Barker_MC_06958,True,lr04_phase_interaction,2,3.1378240176623535,0.032803790938143194,0.20827165685692875,0.8621759823376465,-183.67654009564885,-182.10762808681767,True,,True,69,395.37127187858533
Barker_MC_05224,True,lr04_phase_interaction,2,6.646502861956037,0.06948461389998752,0.03603547421030489,-2.646502861956037,-179.84293193586436,-176.51968050488634,True,,True,69,397.61677442401276
Barker_MC_06128,True,lr04_phase_interaction,2,5.112405690674223,0.05344668360107403,0.07759883650969661,-1.1124056906742226,-181.48197909932037,-178.92577625398326,True,,True,69,396.9398044282814
Barker_MC_00295,True,lr04_phase_interaction,2,8.392141399675893,0.08773406362138678,0.015054614856030527,-4.392141399675893,-180.0780238782101,-175.88195317837216,True,,True,69,397.3664001118359
Barker_MC_02975,True,lr04_phase_interaction,2,4.305362960313289,0.04500960718892035,0.11617222622190448,-0.305362960313289,-180.53249090028976,-178.3798094201331,True,,True,69,397.51497377812393
Barker_MC_06770,True,lr04_phase_interaction,2,3.8257583168087876,0.03999567066159236,0.14765465287737164,0.17424168319121236,-178.91742389810435,-177.00454473969995,True,,True,69,395.5666850945382
Barker_MC_09726,True,lr04_phase_interaction,2,5.120416398593875,0.05353043004012978,0.07728864732603549,-1.1204163985938749,-180.0590186087045,-177.49881040940755,True,,True,69,396.41750874739637
Barker_MC_06190,True,lr04_phase_interaction,2,3.929030482313749,0.041075310089388535,0.14022384489162526,0.07096951768625104,-179.09432462536287,-177.129809384206,True,,True,69,396.11831992308913
Barker_MC_07857,True,lr04_phase_interaction,2,8.382996585941669,0.08763846088642867,0.015123608293209717,-4.382996585941669,-178.54257087835265,-174.35107258538181,True,,True,69,395.90388301693287
Barker_MC_07402,True,lr04_phase_interaction,2,3.3327750308400255,0.034841869633271495,0.18892833505734646,0.6672249691599745,-183.72353549845712,-182.0571479830371,True,,True,69,396.1669316342929
Barker_MC_02857,True,lr04_phase_interaction,2,2.5041642476550123,0.026179314070024117,0.28590887899862927,1.4958357523449877,-183.82192767727764,-182.56984555345014,True,,True,69,395.663789181247
Barker_MC_04536,True,lr04_phase_interaction,2,4.390342004815409,0.04589800462430217,0.11133952055084766,-0.3903420048154089,-179.67546729461645,-177.48029629220875,True,,True,69,395.5377476880336
Barker_MC_03530,True,lr04_phase_interaction,2,4.681708253126942,0.04894403825851573,0.0962453973629385,-0.681708253126942,-177.76000779977443,-175.41915367321096,True,,True,69,397.56328567613104
Barker_MC_07459,True,lr04_phase_interaction,2,4.171349529113172,0.0436085889816383,0.1242232704195601,-0.17134952911317214,-178.43874860594127,-176.35307384138468,True,,True,69,396.15259786528395
Barker_MC_09402,True,lr04_phase_interaction,2,3.757832831107919,0.0392855564487618,0.15275553963670413,0.242167168892081,-177.8197115030278,-175.94079508747384,True,,True,69,396.3555990547842
Barker_MC_04663,True,lr04_phase_interaction,2,4.293804923557445,0.04488877586783291,0.11684553129958777,-0.29380492355744536,-178.8185390102201,-176.67163654844137,True,,True,69,395.725739027914
