realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_07165,NGRIP_02866,8646,True,,55,11.8456321,0.0026776491,0.155360316,-7.78725132,320.174967,4.36596135,True,True,False
joint_07166,NGRIP_06077,5096,True,,55,14.1970834,0.000826309039,0.186200562,-10.1387026,325.755099,5.0931709,True,True,False
joint_07167,NGRIP_08520,3057,True,,55,15.2134415,0.000497099314,0.199530514,-11.1550606,325.252144,5.43503787,True,True,False
joint_07168,NGRIP_00178,752,True,,54,4.96573708,0.083503349,0.0663337431,-0.907356252,324.899861,2.53151856,True,True,False
joint_07169,NGRIP_06742,9556,True,,55,13.6207927,0.00110225592,0.178642274,-9.56241191,332.270134,4.92629284,True,True,False
joint_07170,NGRIP_05245,1602,True,,55,14.1791134,0.000833766897,0.185964878,-10.1207326,332.024684,5.10696233,True,True,False
joint_07171,NGRIP_04333,9387,True,,55,9.39038627,0.00913910211,0.123158761,-5.33200544,330.794072,3.67438141,True,True,False
joint_07172,NGRIP_02667,2549,True,,55,12.7062533,0.0017412942,0.166647715,-8.64787247,327.157472,4.60412778,True,True,False
joint_07173,NGRIP_04828,3397,True,,55,15.615663,0.000406538677,0.204805814,-11.5572821,328.801494,5.69499994,True,True,False
joint_07174,NGRIP_04375,2352,True,,55,13.2045409,0.00135728291,0.17318296,-9.14616006,325.210618,4.87901219,True,True,False
joint_07175,NGRIP_08245,3481,True,,55,8.8562358,0.011936935,0.116153159,-4.79785498,331.392213,3.53975749,True,True,False
joint_07176,NGRIP_06667,9706,True,,55,16.3866746,0.000276489616,0.214917947,-12.3282938,319.807827,5.76696747,True,True,False
joint_07177,NGRIP_07361,6390,True,,55,8.98043599,0.011218198,0.117782095,-4.92205516,343.635998,3.57096665,True,True,False
joint_07178,NGRIP_07011,7495,True,,55,15.1260214,0.000519309414,0.198383964,-11.0676405,328.19088,5.50723033,True,True,False
joint_07179,NGRIP_04393,3876,True,,55,11.2007773,0.00369642682,0.146902781,-7.14239648,327.874664,4.16729615,True,True,False
joint_07180,NGRIP_07775,2948,True,,55,8.21943632,0.0164123995,0.107801273,-4.16105549,334.164686,3.36411833,True,True,False
joint_07181,NGRIP_01406,7640,True,,55,16.7966351,0.000225245973,0.220294747,-12.7382543,324.532744,6.0550074,True,True,False
joint_07182,NGRIP_06240,1586,True,,55,11.6664316,0.00292864383,0.153010028,-7.60805081,330.332121,4.27621238,True,True,False
joint_07183,NGRIP_03574,3231,True,,55,14.4400867,0.000731770686,0.18938765,-10.3817059,323.363165,5.27503198,True,True,False
joint_07184,NGRIP_01072,7185,True,,55,14.5331227,0.000698509785,0.190607856,-10.4747419,329.785127,5.25574959,True,True,False
joint_07185,NGRIP_09522,621,True,,55,11.2438299,0.00361770682,0.147467433,-7.18544903,339.367117,4.23762874,True,True,False
joint_07186,NGRIP_05877,154,True,,55,11.0393443,0.00400716139,0.144785521,-6.98096351,334.079184,4.10375304,True,True,False
joint_07187,NGRIP_05436,6684,True,,55,10.1663754,0.00620011342,0.133336176,-6.10799456,324.912634,3.84263181,True,True,False
joint_07188,NGRIP_06286,8384,True,,55,10.1624847,0.00621218641,0.133285148,-6.10410391,329.293717,3.86775212,True,True,False
joint_07189,NGRIP_02272,430,True,,54,5.79355573,0.0552007983,0.0773919826,-1.7351749,331.575136,2.79139922,True,True,False
joint_07190,NGRIP_09561,9780,True,,55,9.97178574,0.00683367373,0.130784053,-5.91340491,331.344174,3.86337724,True,True,False
joint_07191,NGRIP_09688,7634,True,,55,14.2969005,0.000786081351,0.187509705,-10.2385197,330.651267,5.2055142,True,True,False
joint_07192,NGRIP_04858,4117,True,,55,12.4500923,0.00197923243,0.163288059,-8.39171152,330.071495,4.5160027,True,True,False
joint_07193,NGRIP_07295,9437,True,,55,10.7386613,0.00465724768,0.14084194,-6.68028044,333.60276,4.01158761,True,True,False
joint_07194,NGRIP_01524,8212,True,,55,13.9790309,0.000921492946,0.183340714,-9.92065004,330.386361,5.03440753,True,True,False
joint_07195,NGRIP_06284,6266,True,,55,15.1705939,0.000507863959,0.198968551,-11.1122131,333.673704,5.41212807,True,True,False
joint_07196,NGRIP_02240,3753,True,,55,9.69349514,0.00785388025,0.127134158,-5.63511431,333.698172,3.76130192,True,True,False
joint_07197,NGRIP_07205,8882,True,,55,12.0776668,0.00238433881,0.158403546,-8.01928602,343.100109,4.50341286,True,True,False
joint_07198,NGRIP_08544,55,True,,55,14.0390474,0.000894251328,0.184127855,-9.98066656,330.358986,5.00767352,True,True,False
joint_07199,NGRIP_01447,8044,True,,55,13.9216824,0.000948298539,0.182588565,-9.86330156,330.895685,5.06155057,True,True,False
joint_07200,NGRIP_08786,552,True,,55,12.8997403,0.00158072743,0.169185376,-8.84135945,334.034486,4.64764225,True,True,False
joint_07201,NGRIP_05847,277,True,,55,16.0433192,0.00032827477,0.2104147,-11.9849383,325.290528,5.70812179,True,True,False
joint_07202,NGRIP_03604,6642,True,,55,9.23025039,0.00990094376,0.121058513,-5.17186957,333.81871,3.64537668,True,True,False
joint_07203,NGRIP_01226,6559,True,,55,13.1732529,0.00137868315,0.172772606,-9.11487212,326.679608,4.69832871,True,True,False
joint_07204,NGRIP_05112,6006,True,,55,10.8005109,0.00451542724,0.141653123,-6.74213011,337.414572,4.06851027,True,True,False
joint_07205,NGRIP_00272,4396,True,,55,12.0813759,0.00237992111,0.158452192,-8.02299505,329.502653,4.51644185,True,True,False
joint_07206,NGRIP_04644,456,True,,55,15.0624169,0.00053609002,0.197549766,-11.0040361,329.455526,5.37885867,True,True,False
joint_07207,NGRIP_03451,6983,True,,55,13.0696453,0.00145198648,0.17141375,-9.01126451,321.016693,4.70269931,True,True,False
joint_07208,NGRIP_07509,1436,True,,55,7.65815041,0.0217297019,0.100439778,-3.59976958,327.406668,3.14157219,True,True,False
joint_07209,NGRIP_05659,4517,True,,55,10.2920527,0.00582249539,0.134984485,-6.23367187,338.617107,3.92886832,True,True,False
joint_07210,NGRIP_00067,8339,True,,54,6.27302173,0.0434340812,0.0837968272,-2.2146409,326.574627,2.8921886,True,True,False
joint_07211,NGRIP_05262,9678,True,,55,14.4405702,0.00073159383,0.18939399,-10.3821893,318.13523,5.20288056,True,True,False
joint_07212,NGRIP_03981,2951,True,,55,9.52558747,0.00854171277,0.12493198,-5.46720664,330.824548,3.69635679,True,True,False
joint_07213,NGRIP_05906,710,True,,55,8.35486159,0.0153378631,0.109577431,-4.29648077,338.490882,3.40811903,True,True,False
