replicate_id,seed,fit_valid,invalid_reason,n_response_events,ks_uniform,adjacent_dependence,n_intervals,n_adjacent_pairs,residual_status
275,20260917,True,,63,0.0755111090918,0.00699760629841,63,62,ok
276,20260917,True,,65,0.0619273541493,0.0157225129944,65,64,ok
277,20260917,True,,71,0.0451044810298,0.0907312662146,71,70,ok
278,20260917,True,,76,0.0533113432292,0.129467072086,76,75,ok
279,20260917,True,,73,0.0666364521248,0.0366895097005,73,72,ok
280,20260917,True,,68,0.0865515685987,0.0593240645547,68,67,ok
281,20260917,True,,59,0.0623730155545,0.0346556105858,59,58,ok
282,20260917,True,,73,0.0930694288428,0.0708312950679,73,72,ok
283,20260917,True,,71,0.0882268509864,0.0303787338841,71,70,ok
284,20260917,True,,64,0.0636182940351,0.0385962074152,64,63,ok
285,20260917,True,,66,0.0605032043075,0.0280542046848,66,65,ok
286,20260917,True,,60,0.110665068904,0.191006893907,60,59,ok
287,20260917,True,,75,0.0681408955446,0.0390575476245,75,74,ok
288,20260917,True,,61,0.0788552369495,0.167315172417,61,60,ok
289,20260917,True,,78,0.0570875373558,0.00421153355148,78,77,ok
290,20260917,True,,74,0.0690589656318,0.0831804544644,74,73,ok
291,20260917,True,,74,0.0622472485274,0.0217227791746,74,73,ok
292,20260917,True,,74,0.0517514625473,0.100562380915,74,73,ok
293,20260917,True,,66,0.107908507019,0.136779628402,66,65,ok
294,20260917,True,,69,0.104460862041,0.0396440916985,69,68,ok
295,20260917,True,,62,0.0759738163323,0.139091877331,62,61,ok
296,20260917,True,,76,0.120347295724,0.0604414900488,76,75,ok
297,20260917,True,,72,0.0595418323673,0.149740477298,72,71,ok
298,20260917,True,,75,0.124969591507,0.128191827949,75,74,ok
299,20260917,True,,75,0.077927358808,0.0653043104557,75,74,ok
300,20260917,True,,54,0.0675683523745,0.08737700722,54,53,ok
301,20260917,True,,72,0.0597640678032,0.122583678296,72,71,ok
302,20260917,True,,75,0.0674881215126,0.00116937614038,75,74,ok
303,20260917,True,,68,0.0742472701145,0.125699941923,68,67,ok
304,20260917,True,,69,0.0893400830312,0.0416741773477,69,68,ok
305,20260917,True,,67,0.0863707495182,0.0447112033242,67,66,ok
306,20260917,True,,68,0.0652064053468,0.115058324011,68,67,ok
307,20260917,True,,67,0.0576999865562,0.0859815615347,67,66,ok
308,20260917,True,,73,0.0839724792816,0.124701962327,73,72,ok
