composite_event_id,composite_event_number,composite_event_label,source_record,source_event_label,algorithm_config_id,smoothing_sigma_yr,search_half_width_yr,definition_pick_age_ka_bp,chronology_input_lower_approx95_ka_bp,chronology_input_upper_approx95_ka_bp,chronology_sampling_lower_approx95_ka_bp,chronology_sampling_upper_approx95_ka_bp,chronology_half_width_approx95_ka,chronology_sigma_ka,chronology_support_id,source_bound_repair_applied
MIS6_DO_02,2,MIS 6.2,MF,6.2,s050_w300,50.000000,300.000000,138.393000,137.791588,138.905059,137.791588,138.994412,0.601412,0.306848,MF_segment_0,False
MIS6_DO_03,3,MIS 6.3,MF,6.3,s050_w300,50.000000,300.000000,146.251000,145.712682,146.780851,145.712682,146.789318,0.538318,0.274657,MF_segment_0,False
MIS6_DO_04,4,MIS 6.4,MF,6.4,s050_w300,50.000000,300.000000,146.847000,146.232791,147.463913,146.230087,147.463913,0.616913,0.314757,MF_segment_0,False
MIS6_DO_05,5,MIS 6.5,MF,6.5,s050_w300,50.000000,300.000000,148.439000,147.793850,149.214280,147.663720,149.214280,0.775280,0.395558,MF_segment_0,False
MIS6_DO_06,6,MIS 6.6,MF,6.6,s050_w300,50.000000,300.000000,149.458000,148.607834,150.407069,148.508931,150.407069,0.949069,0.484228,MF_segment_0,False
MIS6_DO_07,7,MIS 6.7,MF,6.7,s050_w300,50.000000,300.000000,150.462000,149.803925,151.178143,149.745857,151.178143,0.716143,0.365386,MF_segment_0,False
MIS6_DO_08,8,MIS 6.8,MF,6.8,s050_w300,50.000000,300.000000,151.115000,150.535468,151.752017,150.477983,151.752017,0.637017,0.325015,MF_segment_0,False
MIS6_DO_09,9,MIS 6.9,MF,6.9,s050_w300,50.000000,300.000000,159.522000,158.840472,160.366590,158.677410,160.366590,0.844590,0.430921,MF_segment_0,False
MIS6_DO_10,10,MIS 6.10,MF,6.10,s050_w300,50.000000,300.000000,160.879000,160.500292,161.186200,160.500292,161.257708,0.378708,0.193222,MF_segment_0,False
MIS6_DO_11,11,MIS 6.11,MF,6.11,s050_w300,50.000000,300.000000,165.006000,164.400400,165.006000,164.400400,165.611600,0.605600,0.308985,MF_segment_0,False
MIS6_DO_12,12,MIS 6.12,MF,6.12,s050_w300,50.000000,300.000000,168.566000,168.255845,171.178428,165.953572,171.178428,2.612428,1.332896,MF_segment_0,False
MIS6_DO_13,13,MIS 6.13,MF,6.13,s050_w300,50.000000,300.000000,169.675000,169.273414,171.651278,167.698722,171.651278,1.976278,1.008323,MF_segment_0,False
MIS6_DO_14,14,MIS 6.14,MF,6.14,s050_w300,50.000000,300.000000,171.506000,170.156137,172.918883,170.093117,172.918883,1.412883,0.720872,MF_segment_0,False
MIS6_DO_15,15,MIS 6.15,MF,6.15,s050_w300,50.000000,300.000000,172.364000,171.272739,173.401342,171.272739,173.455261,1.091261,0.556776,MF_segment_0,False
MIS6_DO_16,16,MIS 6.16,MF,6.16,s050_w300,50.000000,300.000000,174.752000,172.670752,176.963658,172.540342,176.963658,2.211658,1.128418,MF_segment_0,False
MIS6_DO_01,1,MIS 6.1,MF,6.1,s050_w400,50.000000,400.000000,134.976000,133.968778,135.959500,133.968778,135.983222,1.007222,0.513898,MF_segment_0,False
MIS6_DO_02,2,MIS 6.2,MF,6.2,s050_w400,50.000000,400.000000,138.393000,137.791588,138.905059,137.791588,138.994412,0.601412,0.306848,MF_segment_0,False
MIS6_DO_03,3,MIS 6.3,MF,6.3,s050_w400,50.000000,400.000000,146.251000,145.712682,146.780851,145.712682,146.789318,0.538318,0.274657,MF_segment_0,False
MIS6_DO_04,4,MIS 6.4,MF,6.4,s050_w400,50.000000,400.000000,146.847000,146.232791,147.463913,146.230087,147.463913,0.616913,0.314757,MF_segment_0,False
MIS6_DO_05,5,MIS 6.5,MF,6.5,s050_w400,50.000000,400.000000,148.439000,147.793850,149.214280,147.663720,149.214280,0.775280,0.395558,MF_segment_0,False
MIS6_DO_06,6,MIS 6.6,MF,6.6,s050_w400,50.000000,400.000000,149.458000,148.607834,150.407069,148.508931,150.407069,0.949069,0.484228,MF_segment_0,False
MIS6_DO_07,7,MIS 6.7,MF,6.7,s050_w400,50.000000,400.000000,150.462000,149.803925,151.178143,149.745857,151.178143,0.716143,0.365386,MF_segment_0,False
MIS6_DO_08,8,MIS 6.8,MF,6.8,s050_w400,50.000000,400.000000,151.115000,150.535468,151.752017,150.477983,151.752017,0.637017,0.325015,MF_segment_0,False
MIS6_DO_09,9,MIS 6.9,MF,6.9,s050_w400,50.000000,400.000000,159.522000,158.840472,160.366590,158.677410,160.366590,0.844590,0.430921,MF_segment_0,False
MIS6_DO_10,10,MIS 6.10,MF,6.10,s050_w400,50.000000,400.000000,160.879000,160.500292,161.186200,160.500292,161.257708,0.378708,0.193222,MF_segment_0,False
MIS6_DO_11,11,MIS 6.11,MF,6.11,s050_w400,50.000000,400.000000,165.006000,164.400400,165.006000,164.400400,165.611600,0.605600,0.308985,MF_segment_0,False
MIS6_DO_12,12,MIS 6.12,MF,6.12,s050_w400,50.000000,400.000000,168.566000,168.255845,171.178428,165.953572,171.178428,2.612428,1.332896,MF_segment_0,False
MIS6_DO_13,13,MIS 6.13,MF,6.13,s050_w400,50.000000,400.000000,169.675000,169.273414,171.651278,167.698722,171.651278,1.976278,1.008323,MF_segment_0,False
MIS6_DO_14,14,MIS 6.14,MF,6.14,s050_w400,50.000000,400.000000,171.506000,170.156137,172.918883,170.093117,172.918883,1.412883,0.720872,MF_segment_0,False
