realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
2432,135.401552,138.647097,146.478440,147.107646,148.766556,149.858982,150.764571,151.384140,159.878840,161.039004,165.261866,169.669752,170.509978,172.102944,172.825058,175.686427,177.599376,180.156944,180.634944,190.604471,194.517404
2433,134.780474,138.272367,146.163568,146.731016,148.287948,149.253335,150.302525,150.995147,159.344563,160.560591,164.885620,168.033712,169.277490,171.202627,172.147042,174.307552,177.985433,180.179444,180.700444,191.013066,195.004341
2434,135.042010,138.428149,146.303594,146.891125,148.489469,149.500846,150.489096,151.160253,159.564660,160.707044,165.042367,168.726259,169.789531,171.571149,172.429798,174.880208,177.918947,179.381884,179.902884,190.945712,194.894466
2435,135.159301,138.502449,146.348967,146.959270,148.580091,149.630718,150.592329,151.230929,159.675704,160.947920,165.116211,169.041428,170.034657,171.763126,172.562595,175.154493,177.829152,179.809142,180.265142,190.849828,194.788517
2436,134.714525,138.233085,146.128258,146.690643,148.237132,149.190922,150.255479,150.953514,159.289063,160.523661,164.846094,167.859078,169.148373,171.109700,172.075742,174.163150,177.777767,179.688480,180.166480,190.794959,194.727888
2437,135.109220,138.484694,146.311456,146.921251,148.542028,149.601561,150.554461,151.199268,159.643650,160.937825,165.070572,168.881053,169.953384,171.340038,172.510032,175.059460,177.881841,179.597091,180.118091,190.898982,194.860883
2438,135.401493,138.660397,146.467765,147.100225,148.766718,149.875656,150.763267,151.384577,159.888541,161.048726,165.264915,169.573957,170.527319,171.757893,172.827105,175.702832,177.826931,180.140463,180.661463,190.840492,194.795999
2439,134.964175,138.385939,146.244680,146.839757,148.429898,149.446858,150.453592,151.107521,159.512084,160.874554,164.998890,168.535329,169.651798,171.489412,172.351188,174.726034,177.734408,179.396968,179.852968,190.748659,194.676728
2440,134.312978,137.993906,145.913270,146.444820,147.927728,148.810908,149.969030,150.700021,158.951139,160.298804,164.605434,166.795782,168.362214,170.543893,171.641615,173.283926,177.413232,179.709019,180.230019,190.403518,194.326094
2441,134.807708,138.303436,146.150205,146.736621,148.310235,149.318802,150.339056,151.008103,159.391019,160.823420,164.870087,168.166249,169.361309,170.908976,172.182938,174.395753,177.518136,180.519182,180.997182,190.517722,194.421549
