algorithm_config_id,component,mapping_lag_ka,composite_event_id,projected_depth_mm,chronology_sigma_before_conditioning_ka
s035_w500,So-4,-0.5,MIS6_DO_20,1105.3459563552235,0.3041397110506811
s035_w500,So-4,-0.5,MIS6_DO_21,1125.389232674254,0.4211013946060276
s035_w500,So-4,0.0,MIS6_DO_17,974.335714286619,0.2988354531505678
s035_w500,So-4,0.0,MIS6_DO_18,1013.258536587576,0.3326830200110061
s035_w500,So-4,0.0,MIS6_DO_19,1024.6027027052105,0.2537706689309781
s035_w500,So-4,0.0,MIS6_DO_20,1108.4719800756156,0.3142706247823683
s035_w500,So-4,0.0,MIS6_DO_21,1128.5165184254092,0.4024039521155246
s035_w500,So-4,0.5,MIS6_DO_17,980.3486997644918,0.2658820156711334
s035_w500,So-4,0.5,MIS6_DO_18,1025.8493975930908,0.2541625575661484
s035_w500,So-4,0.5,MIS6_DO_19,1043.745721272528,0.3519103007477923
s035_w500,So-4,0.5,MIS6_DO_20,1111.5651387222188,0.3310280765483728
s035_w500,So-4,0.5,MIS6_DO_21,1131.6307884866046,0.3845397303376054
s035_w500,So-4,1.0,MIS6_DO_17,986.4556962034936,0.2464091976687081
s035_w500,So-4,1.0,MIS6_DO_18,1044.2944162448048,0.3675248593185782
s035_w500,So-4,1.0,MIS6_DO_19,1049.45747266156,0.3634044217176457
s035_w500,So-4,1.0,MIS6_DO_20,1114.5870646775115,0.3534708607857764
s035_w500,So-4,1.0,MIS6_DO_21,1134.8164014697638,0.3676302152012479
s035_w500,So-57,-1.0,MIS6_DO_17,322.4711111144892,0.2485368069618579
s035_w500,So-57,-1.0,MIS6_DO_18,438.0747330993103,0.2278847310619289
s035_w500,So-57,-1.0,MIS6_DO_19,454.2697841759995,0.236861201574145
s035_w500,So-57,-1.0,MIS6_DO_20,788.5824561428747,0.3637646765179931
s035_w500,So-57,-0.5,MIS6_DO_17,343.0038759719381,0.2655301937538844
s035_w500,So-57,-0.5,MIS6_DO_18,455.8586956554571,0.2388314048220472
s035_w500,So-57,-0.5,MIS6_DO_19,472.7153024944052,0.2688763511704827
s035_w500,So-57,-0.5,MIS6_DO_20,798.5542725206432,0.4016377150399683
s035_w500,So-57,0.0,MIS6_DO_17,362.3592592620742,0.3056383319405811
s035_w500,So-57,0.0,MIS6_DO_18,474.30827068009864,0.2725821813277335
s035_w500,So-57,0.0,MIS6_DO_19,490.774647890591,0.2860600709038154
s035_w500,So-57,0.0,MIS6_DO_20,810.1725888361389,0.4436169239721642
s035_w500,So-57,0.5,MIS6_DO_17,381.202952032325,0.3377754769635161
s035_w500,So-57,0.5,MIS6_DO_18,492.369402988456,0.2822902273925307
s035_w500,So-57,0.5,MIS6_DO_19,508.9890510982769,0.2498327180087914
s035_w500,So-57,0.5,MIS6_DO_20,822.6675531953152,0.4886451710170011
s035_w500,So-57,1.0,MIS6_DO_17,399.7985348013184,0.2851108890261054
s035_w500,So-57,1.0,MIS6_DO_18,510.59926470921374,0.247438687917827
s035_w500,So-57,1.0,MIS6_DO_19,527.3249097506422,0.2319953231874904
s035_w500,So-57,1.0,MIS6_DO_20,835.7461139933642,0.5359545110488904
s050_w300,So-4,-1.0,MIS6_DO_17,962.0187969934336,0.294042366909643
s050_w300,So-4,-1.0,MIS6_DO_18,999.019047620126,0.2605682842698928
s050_w300,So-4,-1.0,MIS6_DO_19,1004.7597087389908,0.2894487105604768
s050_w300,So-4,-1.0,MIS6_DO_20,1102.1033623919288,0.301345115025469
s050_w300,So-4,-1.0,MIS6_DO_21,1122.254320988638,0.4278697567740505
s050_w300,So-4,-0.5,MIS6_DO_17,968.2869249403872,0.3414802703208507
s050_w300,So-4,-0.5,MIS6_DO_18,1005.0268292693972,0.2910353793077597
s050_w300,So-4,-0.5,MIS6_DO_19,1012.4975247547736,0.3299091782366427
s050_w300,So-4,-0.5,MIS6_DO_20,1105.224005135711,0.3038957008744078
s050_w300,So-4,-0.5,MIS6_DO_21,1125.3211633673227,0.4215212744308074
s050_w300,So-4,0.0,MIS6_DO_17,974.3238095247142,0.2989121906493734
s050_w300,So-4,0.0,MIS6_DO_18,1013.039024392453,0.3318749485740366
s050_w300,So-4,0.0,MIS6_DO_19,1024.9540540565636,0.2536873993936792
s050_w300,So-4,0.0,MIS6_DO_20,1108.353673724432,0.3137591684226757
s050_w300,So-4,0.0,MIS6_DO_21,1128.4467680618463,0.4028067479253853
s050_w300,So-4,0.5,MIS6_DO_17,980.3368794335224,0.2659357980038893
s050_w300,So-4,0.5,MIS6_DO_18,1025.5783132557403,0.2539269431528252
s050_w300,So-4,0.5,MIS6_DO_19,1043.9046454779077,0.3564531237277971
s050_w300,So-4,0.5,MIS6_DO_20,1111.4500609022157,0.3302809934400365
s050_w300,So-4,0.5,MIS6_DO_21,1131.561952441548,0.384922946758894
s050_w300,So-4,1.0,MIS6_DO_17,986.4430379756454,0.2464321972508371
s050_w300,So-4,1.0,MIS6_DO_18,1044.1802030468343,0.3642769960562149
s050_w300,So-4,1.0,MIS6_DO_19,1049.5361881790884,0.3626532862589368
s050_w300,So-4,1.0,MIS6_DO_20,1114.4692118235453,0.352526245243234
s050_w300,So-4,1.0,MIS6_DO_21,1134.7490820083192,0.3679910068191185
s050_w300,So-57,-1.0,MIS6_DO_17,322.42666667004454,0.2485302276350812
s050_w300,So-57,-1.0,MIS6_DO_18,437.74817518578755,0.2279272295127194
s050_w300,So-57,-1.0,MIS6_DO_19,454.73741007528207,0.2374243835271974
s050_w300,So-57,-1.0,MIS6_DO_20,788.2491228095398,0.3624241797467156
