age_kyr_bp,segment_id,intercept,lr04,lr04_scaled,co2,co2_scaled,precession_index,ecc,ecc_scaled,obl,obl_scaled,insol65n,insol65n_scaled,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_sin,pre_phase_cos,pre_phase_extrapolated,same_type_exponential_history,time_since_last_event_kyr,log_time_since_last_event,rectangular_history_count,mis6_segment,event_id,B,BP,B_ecc,BP_ecc,B_obl,BP_obl,B_insol65n,BP_insol65n
108.23,NGRIP,1.0,4.1123,-0.205866199934362,236.90100331252387,0.24981871054811663,-0.029200399999999974,0.043104,0.45858553290605064,22.518467478322933,-0.3338765442429127,509.8446154785156,0.18196393633058627,51.08940958734043,0.823927129903737,47.20754716981128,0.7338193561585487,0.6793446492959617,False,0.008855941700339256,7.089999999999989,2.090628731070399,0.0,0.0,NGRIP:GI-24.2,0.3105994193919608,0.40851372970593897,0.1462722627009124,0.23658011534164383,0.3009043905082916,0.3088581714182611,0.43874526174651396,0.3816302322649322
134.976,MIS6,1.0,4.85616,0.34448893472086184,210.50032660119422,-0.025144702857581205,0.019423180000000095,0.03653983999999999,0.2507255518802527,24.04952873621829,0.35246598413844943,487.43864862060536,-0.04441025289452273,58.74122625485207,2.192558490235797,125.6243478260867,0.812853314639153,-0.5824684445359611,False,0.10364332308202677,3.4170000000000016,1.4854607326143898,0.0,1.0,MIS6:MIS6_DO_01,0.44581512357383224,0.2982455035984139,0.392491995966649,0.26349147613572305,0.46143396415842,0.37389713823163184,0.5362826183822349,0.3792465383532221
138.393,MIS6,1.0,4.88214,0.36371059793483024,198.80961730449252,-0.14690360201395541,0.03416503,0.03432605,0.1806239170335855,23.60699389695089,0.15408693240988336,465.8482812194824,-0.26254419670047585,59.67468904592306,3.126021281306784,179.10782608695672,0.015570743031672394,-0.9998787686321985,False,0.011263096286735719,7.858000000000004,2.181321005501007,0.0,1.0,MIS6:MIS6_DO_02,0.47812791762167234,0.3409870748769682,0.4158193366359152,0.3086414388256637,0.4865025374627363,0.3805719496399519,0.3272101722271173,0.346965969783437
146.251,MIS6,1.0,4.78255,0.290027555614617,193.7391228466419,-0.19971287198190935,-0.012096920000000034,0.02982152,0.03798395695794215,22.55732948669327,-0.31645552405490274,492.86697647094735,0.010433768064805636,61.715678954623755,5.167011190007479,296.04793388429744,-0.8984269887055081,0.4391229280799999,False,1.1221780718416754,0.5960000000000036,0.4675004990276193,1.0,1.0,MIS6:MIS6_DO_03,0.30164957427975786,0.5175499267787705,0.28388313777672614,0.484081189662988,0.2945165403282157,0.45584926504198947,0.27951858611070457,0.4600035412381737
146.847,MIS6,1.0,4.81235,0.3120754987930727,194.36170256452374,-0.19322869560197262,-0.01605495000000009,0.029557229999999993,0.029614978385617656,22.515543101736583,-0.3351874806994812,496.0424116516114,0.042516140096251195,61.87042186549479,5.321754100878515,304.91404958677685,-0.820011554442648,0.5723469669532216,False,0.6696346618673747,1.5919999999999845,0.9524297784900223,0.0,1.0,MIS6:MIS6_DO_04,0.3618360774433011,0.9056075774974804,0.36921623283347504,0.8513559439548367,0.3527565571431989,0.8140283843681287,0.4288750663357832,0.8521055429867241
148.439,MIS6,1.0,4.7275599999999995,0.2493424416755817,196.80542560629158,-0.16777728629418454,-0.024206430000000015,0.0289524,0.010462496982996176,22.446637478420765,-0.36607642095735315,502.6930759277344,0.10970979180801482,62.283761989834865,5.735094225218589,328.59669421487615,-0.5210588781526752,0.8535207352479937,False,0.9353928656582375,1.0190000000000055,0.7026023393307032,1.0,1.0,MIS6:MIS6_DO_05,0.3081168234600053,0.6686552220720569,0.33641796796511236,0.6641287359316843,0.29928554002079705,0.5743583920819072,0.37964902477538953,0.5902961645113821
149.458,MIS6,1.0,4.75,0.2659449868072778,201.74055069958422,-0.11637789013198237,-0.02718552000000002,0.028585439999999997,-0.0011576187115065902,22.43637637726777,-0.370676256576605,505.4073757324219,0.13713317511910245,62.548330825703296,5.99966306108702,343.7553719008265,-0.2797390010647488,0.9600760861948893,False,0.8451206578535144,1.0039999999999907,0.6951451832226138,1.0,1.0,MIS6:MIS6_DO_06,0.3210233438210583,0.7498616605770605,0.38219780791997854,0.7688677613108971,0.3118261506604182,0.6427310678243741,0.45087050986315047,0.6763574336032618
150.462,MIS6,1.0,4.708420000000001,0.23518144729854826,202.4240581608874,-0.10925915046090673,-0.028262080000000002,0.028307119999999998,-0.009970869747297868,22.4524466975056,-0.3634722703434923,506.7358391113281,0.1505550382425399,62.8090051252243,6.260337360608027,358.6909090909094,-0.02284595874294934,0.9997389970232808,False,0.6504656527309074,0.65300000000002,0.5025918188388993,1.0,1.0,MIS6:MIS6_DO_07,0.33330811842630054,0.766547221388344,0.4289451702333688,0.8204491238625384,0.3237162232492447,0.6540547353745976,0.4984716627356696,0.6828012761640315
151.115,MIS6,1.0,4.6577,0.19765555206327076,202.41209248101535,-0.10938377318241169,-0.02798464999999997,0.028161999999999993,-0.014566223980964459,22.47633502685799,-0.3527636352173819,506.93645584106446,0.15258192910723933,62.970524935020734,0.13867186322487157,7.945312500000455,0.13822784967765225,0.9904004551561416,False,0.005280442223967844,8.406999999999982,2.2414540929898124,0.0,1.0,MIS6:MIS6_DO_08,0.403906095660126,1.197761645375726,0.5968462581454204,1.3539562959787512,0.3921558789428588,1.0409779064000095,0.7075266898017425,1.0902060841542287
159.522,MIS6,1.0,4.67566,0.21094350707954745,186.1466666666667,-0.27878840819660283,0.017609720000000037,0.028452280000000003,-0.005374248877954971,23.395546687446835,0.05929960000119183,477.9383367919922,-0.14039474672272637,65.03391317242146,2.2020601006256015,126.16875000000027,0.8072823175226611,-0.5901654512213007,False,0.43465045824351495,1.3569999999999993,0.8573896239539938,1.0,1.0,MIS6:MIS6_DO_09,0.36022877922459984,0.14021690242842624,0.39482570260574934,0.15848337999382797,0.3624190483952717,0.13823302852802016,0.2469820670422318,0.12399544981110563
